V01000 V04001 V04002 V04202 C56001 C56002 C56003 C56004 C56005_400 V56006 V56007 V56008 V56019 V56020 V56021 V56208_400_010 V56208_400_020 V56208_400_050 V56208_400_070 V56208_400_100
56586 1991 9 3 一季稻 成熟 09月23日 普遍期 提前6天 -9999 -9999 -9999 2846 -200 -9999 -9999 -9999 -9999 -9999 -9999 
56586 1992 3 3 一季稻 播种 03月27日 普遍期 推迟12天 -9999 -9999 -9999 28 28 -9999 -9999 -9999 -9999 -9999 -9999 
56586 1992 4 1 夏玉米 播种 04月06日 普遍期 提前25天 -9999 -9999 -9999 46 46 0 76 93 99 -9999 -9999 
56586 1992 4 1 一季稻 出苗 04月03日 普遍期 提前12天 -9999 -9999 -9999 1396 115 -9999 -9999 -9999 -9999 -9999 -9999 
56586 1992 4 2 夏玉米 未进 -9999 -9999 -9999 -9999 -9999 -9999 162 162 0 84 99 99 -9999 -9999 
56586 1992 4 2 一季稻 播种 03月27日 普遍期 推迟12天 -9999 -9999 -9999 256 69 -9999 -9999 -9999 -9999 -9999 -9999 
56586 1992 4 3 夏玉米 三叶 04月30日 末期 提前19天 7 1 -9999 321 321 0 86 96 99 -9999 -9999 
56586 1992 4 3 一季稻 播种 03月27日 普遍期 推迟12天 -9999 -9999 -9999 415 106 -9999 -9999 -9999 -9999 -9999 -9999 
56586 1992 5 1 一季稻 播种 03月27日 普遍期 推迟12天 -9999 -9999 -9999 589 129 22 0 89 99 -9999 -9999 
56586 1992 5 2 夏玉米 七叶 05月13日 末期 提前25天 11 2 294 632 337 0 67 88 99 -9999 -9999 
56586 1992 5 2 一季稻 移栽 05月15日 末期 提前20天 34 1 -9999 726 103 -9999 -9999 -9999 -9999 -9999 -9999 
56586 1992 5 3 夏玉米 三叶 04月30日 末期 提前19天 7 1 -9999 800 313 0 65 77 99 -9999 -9999 
56586 1992 5 3 一季稻 返青 05月21日 普遍期 提前20天 25 1 175 894 88 -9999 -9999 -9999 -9999 -9999 -9999 
56586 1992 6 1 夏玉米 拔节 06月10日 开始期 -9999 -9999 -9999 -9999 999 348 0 65 73 97 -9999 -9999 
56586 1992 6 1 一季稻 返青 05月21日 普遍期 提前20天 25 1 175 1085 113 -9999 -9999 -9999 -9999 -9999 -9999 
56586 1992 6 2 夏玉米 拔节 06月18日 末期 提前9天 46 2 -9999 1189 377 0 82 94 87 -9999 -9999 
56586 1992 6 2 一季稻 分蘖 06月18日 开始期 -9999 -9999 -9999 -9999 1282 141 -9999 -9999 -9999 -9999 -9999 -9999 
56586 1992 7 3 夏玉米 未进 -9999 -9999 -9999 206 2 -9999 1930 328 0 82 94 99 -9999 -9999 
56586 1992 7 3 一季稻 孕穗 07月28日 开始期 -9999 -9999 -9999 -9999 2023 66 -9999 -9999 -9999 -9999 -9999 -9999 
56586 1992 8 1 夏玉米 未进 -9999 -9999 -9999 -9999 -9999 -9999 2146 362 0 71 85 99 -9999 -9999 
56586 1992 8 1 一季稻 孕穗 08月04日 普遍期 提前4天 41 1 361 2239 91 -9999 -9999 -9999 -9999 -9999 -9999 
56586 1992 8 2 夏玉米 乳熟 08月17日 普遍期 推迟1天 -9999 -9999 232 2344 388 0 74 81 99 -9999 -9999 
56586 1992 8 2 一季稻 抽穗 08月16日 普遍期 提前4天 76 1 -9999 2438 97 -9999 -9999 -9999 -9999 -9999 -9999 
56586 1992 8 3 夏玉米 乳熟 08月17日 普遍期 推迟1天 -9999 -9999 232 2527 366 0 79 78 99 -9999 -9999 
56586 1992 8 3 一季稻 抽穗 08月22日 末期 推迟1天 -9999 -9999 -9999 2621 67 -9999 -9999 -9999 -9999 -9999 -9999 
56586 1992 9 1 夏玉米 乳熟 08月17日 普遍期 推迟1天 -9999 -9999 232 2712 377 0 75 91 99 -9999 -9999 
56586 1992 9 1 一季稻 乳熟 09月03日 普遍期 推迟3天 80 1 333 2806 73 -9999 -9999 -9999 -9999 -9999 -9999 
56586 1992 9 2 夏玉米 成熟 09月17日 普遍期 提前2天 -9999 -9999 -9999 2829 358 0 83 87 96 -9999 -9999 
56586 1992 9 2 一季稻 乳熟 09月03日 普遍期 推迟3天 80 1 333 2971 68 -9999 -9999 -9999 -9999 -9999 -9999 
56586 1992 9 3 一季稻 乳熟 09月03日 普遍期 推迟3天 80 1 333 3134 87 -9999 -9999 -9999 -9999 -9999 -9999 
56586 1992 10 1 一季稻 成熟 10月02日 末期 推迟3天 -9999 -9999 -9999 3171 124 -9999 -9999 -9999 -9999 -9999 -9999 
56586 1993 4 1 夏玉米 未进 -9999 -9999 -9999 -9999 -9999 -9999 105 105 0 72 92 99 -9999 -9999 
56586 1993 4 1 一季稻 出苗 04月03日 普遍期 提前12天 -9999 -9999 -9999 125 101 -9999 -9999 -9999 -9999 -9999 -9999 
