V01000 V04001 V04002 V04202 C56001 C56002 C56003 C56004 C56005_400 V56006 V56007 V56008 V56019 V56020 V56021 V56208_400_010 V56208_400_020 V56208_400_050 V56208_400_070 V56208_400_100
50425 1991 9 2 牧草 黄枯 09月14日 末期 推迟2天 -9999 -9999 -9999 -9999 -9999 0 84 85 92 -9999 -9999 
50425 1991 9 3 牧草 未进 -9999 -9999 -9999 -9999 -9999 79 -9999 -9999 0 81 90 99 -9999 -9999 
50425 1991 10 1 牧草 未进 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 0 84 84 80 -9999 -9999 
50425 1991 10 2 牧草 未进 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 0 86 77 70 -9999 -9999 
50425 1992 3 1 牧草 未进 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 0 97 88 0 -9999 -9999 
50425 1992 4 2 牧草 未进 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 0 99 99 0 -9999 -9999 
50425 1992 4 3 牧草 出苗 04月21日 普遍期 提前16天 -9999 -9999 -9999 42 -9999 0 99 -9999 -9999 -9999 -9999 
50425 1992 5 1 牧草 出苗 05月01日 普遍期 提前11天 5 1 -9999 77 100 0 90 84 89 -9999 -9999 
50425 1992 5 2 牧草 三叶 05月16日 普遍期 提前9天 12 1 -9999 201 116 0 86 82 93 -9999 -9999 
50425 1992 5 3 牧草 三叶 05月21日 末期 提前1天 27 2 50 404 138 1 71 78 85 -9999 -9999 
50425 1992 6 1 牧草 三叶 05月21日 末期 提前1天 27 2 50 529 163 0 57 65 82 -9999 -9999 
50425 1992 7 3 牧草 开花 07月21日 开始期 推迟5天 -9999 -9999 78 1485 199 0 56 44 71 -9999 -9999 
50425 1992 8 1 牧草 开花 08月08日 普遍期 推迟11天 -9999 -9999 -9999 1654 190 0 58 42 58 -9999 -9999 
50425 1992 8 2 牧草 未进 -9999 -9999 -9999 -9999 -9999 -9999 1811 185 0 62 53 52 -9999 -9999 
50425 1992 8 3 牧草 未进 -9999 -9999 -9999 -9999 -9999 -9999 1969 177 0 99 99 99 -9999 -9999 
50425 1992 9 1 牧草 未进 -9999 -9999 -9999 -9999 -9999 -9999 2130 173 0 99 99 99 -9999 -9999 
50425 1992 9 2 牧草 黄枯 09月13日 末期 提前4天 -9999 -9999 -9999 2113 136 0 92 2 93 -9999 -9999 
50425 1992 9 3 牧草 黄枯 09月13日 末期 提前4天 -9999 -9999 -9999 -9999 -9999 0 86 89 96 -9999 -9999 
50425 1992 10 1 牧草 黄枯 09月13日 末期 提前4天 -9999 -9999 -9999 -9999 -9999 0 96 89 94 -9999 -9999 
50425 1992 10 2 牧草 黄枯 09月13日 末期 提前4天 -9999 -9999 -9999 -9999 -9999 0 84 84 94 -9999 -9999 
50425 1993 3 1 甘蔗 未进 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 0 99 99 0 -9999 -9999 
50425 1993 4 2 牧草 未进 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 0 99 96 0 -9999 -9999 
50425 1993 4 3 牧草 未进 -9999 普遍期 提前11天 1 1 -9999 12 12 0 95 94 0 -9999 -9999 
50425 1993 5 1 牧草 出苗 05月06日 普遍期 提前5天 4 1 -9999 35 35 0 79 91 91 -9999 -9999 
50425 1993 5 2 牧草 无 05月17日 末期 99 10 1 -9999 153 0 0 92 91 90 -9999 -9999 
50425 1993 5 3 牧草 无 05月17日 末期 99 10 1 -9999 280 59 0 69 78 92 -9999 -9999 
50425 1993 6 2 牧草 无 05月17日 末期 99 10 1 -9999 598 71 0 68 67 85 -9999 -9999 
50425 1993 6 3 牧草 无 05月17日 末期 99 10 1 -9999 765 60 3 52 53 86 -9999 -9999 
50425 1993 7 1 牧草 无 05月17日 末期 99 10 1 -9999 951 64 0 38 39 58 -9999 -9999 
50425 1993 7 3 牧草 开花 07月30日 末期 -9999 71 1 91 359 73 0 82 84 96 -9999 -9999 
50425 1993 8 1 牧草 开花 07月30日 末期 -9999 71 1 91 1145 71 -9999 -9999 84 96 -9999 -9999 
50425 1993 8 2 牧草 开花 07月30日 末期 -9999 71 1 91 1773 103 0 75 75 92 -9999 -9999 
50425 1993 8 3 牧草 开花 07月30日 末期 -9999 71 1 91 1868 76 0 90 86 99 -9999 -9999 
50425 1993 9 1 牧草 开花 07月30日 末期 -9999 71 1 91 2005 93 0 72 70 90 -9999 -9999 
50425 1993 9 3 牧草 开花 07月30日 末期 -9999 71 1 91 -9999 -9999 0 99 89 99 -9999 -9999 
50425 1993 10 1 牧草 开花 07月30日 末期 -9999 71 1 91 -9999 -9999 0 91 85 86 -9999 -9999 
50425 1993 10 2 牧草 开花 07月30日 末期 -9999 71 1 91 -9999 -9999 0 92 91 89 -9999 -9999 
50425 1994 4 2 牧草 未进 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 0 99 97 0 -9999 -9999 
50425 1994 4 3 牧草 未进 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 0 95 99 0 -9999 -9999 
50425 1994 5 1 牧草 出苗 05月05日 末期 提前4天 5 2 -9999 39 33 0 80 87 99 -9999 -9999 
50425 1994 5 2 牧草 未进 -9999 -9999 -9999 -9999 -9999 -9999 136 18 0 99 92 84 -9999 -9999 
50425 1994 6 1 牧草 未进 -9999 -9999 -9999 -9999 -9999 -9999 462 56 0 59 86 99 -9999 -9999 
50425 1994 6 2 牧草 未进 -9999 -9999 -9999 -9999 -9999 -9999 652 0 66 33 69 90 -9999 -9999 
50425 1994 6 3 牧草 未进 -9999 -9999 -9999 -9999 -9999 -9999 858 116 5 52 58 87 -9999 -9999 
50425 1994 7 1 牧草 未进 -9999 -9999 -9999 -9999 -9999 -9999 1055 129 0 67 54 83 -9999 -9999 
50425 1994 7 2 牧草 未进 -9999 -9999 -9999 -9999 -9999 -9999 1082 29 0 43 43 67 -9999 -9999 
50425 1994 7 3 牧草 未进 -9999 -9999 -9999 -9999 -9999 -9999 1506 208 0 90 76 74 -9999 -9999 
50425 1994 8 1 牧草 未进 -9999 -9999 -9999 -9999 -9999 -9999 1675 187 0 86 74 68 -9999 -9999 
50425 1994 8 2 牧草 未进 -9999 -9999 -9999 -9999 -9999 -9999 1852 260 0 80 61 57 -9999 -9999 
50425 1994 8 3 牧草 未进 -9999 -9999 -9999 -9999 -9999 -9999 1922 100 0 87 70 71 -9999 -9999 
50425 1994 9 1 牧草 未进 -9999 -9999 -9999 -9999 -9999 -9999 2156 209 0 87 74 75 -9999 -9999 
50425 1994 9 3 牧草 未进 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 0 80 61 67 -9999 -9999 
