V01000 V04001 V04002 V04202 C56001 C56002 C56003 C56004 C56005_400 V56006 V56007 V56008 V56019 V56020 V56021 V56208_400_010 V56208_400_020 V56208_400_050 V56208_400_070 V56208_400_100
56038 1991 9 2 牧草 黄枯 09月18日 末期 提前17天 61 2 -9999 988 86 0 87 90 82 -9999 -9999 
56038 1992 4 3 牧草 出苗 04月23日 普遍期 推迟2天 1 3 -9999 12 1 0 70 85 0 -9999 -9999 
56038 1992 5 1 牧草 三叶 05月07日 开始期 -99 -9999 -9999 -9999 44 14 0 64 69 66 -9999 -9999 
56038 1992 5 2 牧草 三叶 05月11日 末期 推迟1天 3 3 40 68 5 -9999 -9999 -9999 -9999 -9999 -9999 
56038 1992 5 3 牧草 三叶 05月11日 末期 推迟1天 3 3 40 111 -20 0 68 65 73 -9999 -9999 
56038 1992 6 1 牧草 三叶 05月11日 末期 推迟1天 3 3 40 170 7 0 69 62 75 -9999 -9999 
56038 1992 6 2 牧草 三叶 05月11日 末期 推迟1天 3 3 40 247 23 0 67 64 83 -9999 -9999 
56038 1992 7 3 牧草 开花 07月30日 普遍期 提前4天 30 3 60 537 -19 0 81 80 75 -9999 -9999 
56038 1992 8 1 牧草 开花 08月03日 末期 99 -9999 -9999 -9999 625 -13 0 57 68 72 -9999 -9999 
56038 1992 8 2 牧草 未进 -9999 -9999 -9999 -9999 -9999 -9999 708 -6 0 60 54 72 -9999 -9999 
56038 1992 8 3 牧草 未进 -9999 -9999 -9999 -9999 -9999 -9999 768 -26 0 65 76 76 -9999 -9999 
56038 1992 9 1 牧草 黄枯 09月06日 开始期 99 43 3 -9999 843 -14 0 65 73 63 -9999 -9999 
56038 1992 9 2 牧草 黄枯 09月20日 普遍期 提前10天 44 3 -9999 906 4 0 82 86 72 -9999 -9999 
56038 1992 9 3 牧草 黄枯 09月26日 末期 -9999 -9999 -9999 -9999 929 -6 -9999 -9999 -9999 -9999 -9999 -9999 
56038 1993 5 1 牧草 出苗 05月03日 普遍期 推迟12天 1 2 -9999 30 0 0 92 90 70 -9999 -9999 
56038 1993 5 2 牧草 三叶 05月12日 开始期 -99 -9999 -9999 -9999 56 -8 0 59 89 16 -9999 -9999 
56038 1993 5 3 冬小麦 停止生长 05月27日 普遍期 提前27天 -9999 -9999 -9999 92 -39 0 60 86 97 -9999 -9999 
56038 1993 6 1 牧草 三叶 06月02日 末期 -9999 -9999 -9999 -9999 166 3 0 0 0 0 -9999 -9999 
56038 1993 6 3 牧草 三叶 06月02日 末期 -9999 -9999 -9999 -9999 300 5 0 90 93 68 -9999 -9999 
56038 1993 7 2 牧草 三叶 06月02日 末期 -9999 -9999 -9999 -9999 466 5 0 98 81 70 -9999 -9999 
56038 1993 7 3 牧草 开花 07月29日 普遍期 提前6天 26 2 60 568 13 0 83 80 75 -9999 -9999 
56038 1993 8 1 牧草 开花 08月03日 末期 99 -9999 -9999 -9999 662 24 -9999 -9999 -9999 -9999 -9999 -9999 
56038 1993 8 2 牧草 开花 08月03日 末期 99 -9999 -9999 -9999 760 46 0 91 99 81 -9999 -9999 
56038 1993 8 3 牧草 开花 08月03日 末期 99 -9999 -9999 -9999 822 28 0 79 86 77 -9999 -9999 
56038 1993 9 1 牧草 开花 08月03日 末期 99 -9999 -9999 -9999 862 5 -9999 -9999 -9999 -9999 -9999 -9999 
56038 1994 4 3 牧草 出苗 04月25日 开始期 -99 1 3 -9999 4 -9 0 78 70 0 -9999 -9999 
56038 1994 5 1 牧草 出苗 05月10日 普遍期 推迟19天 1 3 -9999 41 12 0 71 60 79 -9999 -9999 
56038 1994 5 2 牧草 三叶 05月16日 开始期 推迟12天 2 3 -9999 75 12 -9999 -9999 -9999 -9999 -9999 -9999 
56038 1994 5 3 牧草 三叶 05月30日 普遍期 提前20天 2 -9999 -9999 120 -11 0 72 61 76 -9999 -9999 
56038 1994 6 1 牧草 三叶 05月30日 普遍期 提前20天 2 -9999 -9999 172 9 0 82 73 68 -9999 -9999 
56038 1994 6 2 牧草 三叶 05月30日 普遍期 提前20天 2 -9999 -9999 251 27 -9999 -9999 -9999 -9999 -9999 -9999 
56038 1994 6 3 牧草 三叶 05月30日 普遍期 提前20天 2 -9999 -9999 312 17 0 84 90 74 -9999 -9999 
56038 1994 7 1 牧草 三叶 05月30日 普遍期 提前20天 2 -9999 -9999 368 -13 0 75 74 85 -9999 -9999 
56038 1994 7 2 牧草 三叶 05月30日 普遍期 提前20天 2 -9999 -9999 450 -11 0 66 69 74 -9999 -9999 
56038 1994 7 3 牧草 开花 07月30日 开始期 推迟2天 23 1 80 549 -7 0 68 54 84 -9999 -9999 
56038 1994 8 2 牧草 开花 07月30日 开始期 推迟2天 23 1 80 730 16 -9999 -9999 -9999 -9999 -9999 -9999 
56038 1994 8 3 早稻 未进 -9999 -9999 -9999 27 2 -9999 803 9 0 50 51 74 -9999 -9999 
