V01000 V04001 V04002 V04202 C56001 C56002 C56003 C56004 C56005_400 V56006 V56007 V56008 V56019 V56020 V56021 V56208_400_010 V56208_400_020 V56208_400_050 V56208_400_070 V56208_400_100
53611 1999 10 1 甘蔗 茎成熟 10月08日 普遍期 提前7天 -9999 -9999 -9999 3717 280 0 81 90 87 -9999 -9999 
53611 2000 3 1 春小麦 播种 03月03日 普遍期 提前2天 -9999 -9999 -9999 5 -7 0 99 99 99 -9999 -9999 
53611 2000 3 2 春小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 49 -2 0 87 99 99 -9999 -9999 
53611 2000 3 3 春小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 136 17 0 83 99 99 -9999 -9999 
53611 2000 4 1 春小麦 出苗 04月05日 普遍期 正常 -9999 -9999 -9999 227 26 0 89 99 99 -9999 -9999 
53611 2000 4 2 春小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 344 22 0 85 99 95 -9999 -9999 
53611 2000 4 2 春玉米 播种 04月11日 普遍期 -9999 -9999 -9999 -9999 106 -9999 0 85 99 95 -9999 -9999 
53611 2000 4 3 春小麦 分蘖 04月30日 普遍期 推迟4天 -9999 -9999 339 475 8 0 -9999 -9999 -9999 -9999 -9999 
53611 2000 4 3 春玉米 未进 -9999 -9999 -9999 -9999 -9999 -9999 247 -9999 0 -9999 -9999 -9999 -9999 -9999 
53611 2000 5 1 春小麦 分蘖 04月30日 普遍期 推迟4天 -9999 -9999 339 654 26 0 85 99 99 -9999 -9999 
53611 2000 5 1 春玉米 出苗 05月06日 -9999 -9999 -9999 -9999 -9999 426 -9999 0 85 99 99 -9999 -9999 
53611 2000 5 2 春小麦 拔节 05月18日 普遍期 推迟4天 35 1 469 847 48 0 63 94 97 -9999 -9999 
53611 2000 5 2 春玉米 三叶 05月16日 -9999 -9999 -9999 -9999 -9999 620 -9999 0 63 94 97 -9999 -9999 
53611 2000 5 3 春小麦 拔节 05月18日 普遍期 推迟4天 35 1 469 1082 78 0 57 83 88 -9999 -9999 
53611 2000 5 3 春玉米 出苗 05月06日 -9999 -9999 -9999 -9999 -9999 854 -9999 0 57 83 88 -9999 -9999 
53611 2000 6 1 春小麦 抽穗 06月04日 普遍期 正常 -9999 -9999 335 1278 65 0 -9999 -9999 -9999 -9999 -9999 
53611 2000 6 1 春玉米 七叶 06月08日 -9999 -9999 -9999 -9999 -9999 1051 -9999 0 -9999 -9999 -9999 -9999 -9999 
53611 2000 6 2 春小麦 抽穗 06月04日 普遍期 正常 -9999 -9999 335 1493 57 0 99 99 99 -9999 -9999 
53611 2000 6 2 春玉米 七叶 06月08日 -9999 -9999 -9999 -9999 -9999 1266 -9999 0 99 99 99 -9999 -9999 
53611 2000 6 3 春小麦 乳熟 06月26日 普遍期 推迟3天 77 1 277 1711 34 0 89 99 98 -9999 -9999 
53611 2000 6 3 春玉米 拔节 06月28日 开始期 -9999 -9999 -9999 -9999 1483 -9999 0 89 99 98 -9999 -9999 
53611 2000 7 1 春小麦 乳熟 06月26日 普遍期 推迟3天 77 1 277 1961 52 0 71 91 88 -9999 -9999 
