V01000 V04001 V04002 V04202 C56001 C56002 C56003 C56004 C56005_400 V56006 V56007 V56008 V56019 V56020 V56021 V56208_400_010 V56208_400_020 V56208_400_050 V56208_400_070 V56208_400_100
58015 2002 11 2 冬小麦 分蘖 11月16日 普遍期 推迟6天 -9999 -9999 197 366 -76 0 75 93 57 -9999 -9999 
58015 2002 11 3 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 423 -68 0 71 90 58 -9999 -9999 
58015 2002 12 1 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 463 -65 0 99 99 63 -9999 -9999 
58015 2002 12 2 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 486 -65 0 87 98 66 -9999 -9999 
58015 2002 12 3 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 492 -75 0 99 94 71 -9999 -9999 
58015 2003 1 1 冬小麦 未进 -999 -999 -999 -999 -999 -999 494 -83 0 99 89 57 -999 -999 
58015 2003 1 2 冬小麦 未进 -999 -999 -999 -999 -999 -999 511 -75 0 99 97 63 -999 -999 
58015 2003 1 3 冬小麦 未进 -999 -999 -999 -999 -999 -999 523 -75 0 77 92 66 -999 -999 
58015 2003 2 1 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 549 -67 0 73 94 58 -9999 -9999 
58015 2003 2 2 冬小麦 返青 2月18日 普遍期 提前0天 -9999 -9999 734 586 -59 0 77 93 84 -9999 -9999 
58015 2003 2 3 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 627 -46 0 87 99 68 -9999 -9999 
58015 2003 11 2 冬小麦 -9999 -9999 -9999 -9999 -9999 -9999 -9999 257 -185 0 99 99 99 -9999 -9999 
58015 2003 11 3 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 310 -182 0 99 99 99 -9999 -9999 
58015 2003 12 1 冬小麦 分蘖 12月10日 开始期 推迟35天 -9999 -9999 223 333 -194 0 99 99 99 -9999 -9999 
58015 2003 12 2 冬小麦 停止生长 12月13日 普遍期 提前9天 12 3 312 340 -211 0 99 99 99 -9999 -9999 
58015 2003 12 3 冬小麦 分蘖 12月30日 普遍期 推迟50天 -9999 -9999 -9999 369 -199 0 99 99 99 -9999 -9999 
58015 2004 1 1 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 403 -175 0 99 99 99 -9999 -9999 
58015 2004 1 2 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 410 -176 0 99 99 99 -9999 -9999 
58015 2004 1 3 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 425 -173 0 99 99 99 -9999 -9999 
58015 2004 2 1 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 446 -170 0 99 99 99 -9999 -9999 
58015 2004 2 2 冬小麦 返青 2月16日 普遍期 提前2天 -9999 -9999 543 530 -114 0 99 99 99 -9999 -9999 
58015 2004 11 2 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 485 43 0 99 99 99 -9999 -9999 
58015 2004 11 3 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 532 40 0 99 99 99 -9999 -9999 
58015 2004 12 1 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 603 75 0 99 99 99 -9999 -9999 
58015 2004 12 2 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 657 106 0 99 99 99 -9999 -9999 
58015 2004 12 3 冬小麦 停止生长 12月21日 普遍期 提前1天 21 2 596 603 35 -9999 -9999 -9999 -9999 -9999 -9999 
58015 2005 1 1 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 603 25 0 99 99 99 -9999 -9999 
58015 2005 1 2 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 603 18 0 99 99 99 -9999 -9999 
58015 2005 1 3 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 611 12 0 99 99 99 -9999 -9999 
58015 2005 2 1 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 615 -1 -9999 -9999 -9999 -9999 -9999 -9999 
58015 2005 2 2 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 619 -25 0 99 99 99 -9999 -9999 
58015 2005 2 3 冬小麦 返青 2月28日 普遍期 推迟10天 -9999 -9999 607 642 -31 0 99 99 99 -9999 -9999 
58015 2005 4 1 冬小麦 拔节 4月4日 普遍期 推迟4天 28 2 461 1013 -2 0 85 99 71 -9999 -9999 
58015 2005 4 2 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 1167 12 0 84 83 91 -9999 -9999 
58015 2005 4 3 冬小麦 抽穗 4月25日 普遍期 提前1天 -9999 -9999 318 1362 54 0 63 70 77 -9999 -9999 
58015 2005 5 1 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 1550 69 0 44 65 70 -9999 -9999 
58015 2005 5 2 冬小麦 乳熟 5月18日 普遍期 推迟1天 67 2 311 1738 68 0 99 99 61 -9999 -9999 
58015 2005 5 3 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 1978 73 0 61 78 53 -9999 -9999 
58015 2005 6 1 冬小麦 成熟 6月4日 普遍期 推迟3天 -9999 -9999 -9999 2081 152 -9999 -9999 -9999 -9999 -9999 -9999 
58015 2005 11 2 冬小麦 分蘖 11月14日 普遍期 推迟4天 -9999 -9999 218 413 -29 0 99 99 99 -9999 -9999 
58015 2005 11 3 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 479 -12 0 99 99 99 -9999 -9999 
58015 2005 12 1 冬小麦 停止生长 12月4日 普遍期 提前18天 22 2 543 504 -24 0 99 99 99 -9999 -9999 
58015 2005 12 2 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 504 -47 0 99 99 99 -9999 -9999 
58015 2005 12 3 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 525 -43 0 99 99 99 -9999 -9999 
58015 2006 1 1 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 531 -47 0 99 99 99 -9999 -9999 
58015 2006 1 2 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 547 -39 0 99 99 99 -9999 -9999 
58015 2006 1 3 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 559 -39 0 96 99 99 -9999 -9999 
58015 2006 2 1 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 565 -51 0 99 99 99 -9999 -9999 
58015 2006 2 2 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 613 -32 0 99 99 99 -9999 -9999 
58015 2006 2 3 冬小麦 返青 2月22日 普遍期 推迟4天 -9999 -9999 676 648 -25 -9999 -9999 -9999 -9999 -9999 -9999 
58015 2006 11 2 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 530 89 0 97 98 81 -9999 -9999 
58015 2006 11 3 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 598 106 0 99 99 90 -9999 -9999 
58015 2006 12 1 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 614 86 0 99 99 88 -9999 -9999 
58015 2006 12 2 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 636 85 0 98 99 99 -9999 -9999 
58015 2006 12 3 冬小麦 停止生长 12月28日 普遍期 推迟6天 28 1 1110 660 92 0 89 99 99 -9999 -9999 
58015 2007 1 1 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 660 82 0 88 99 94 -9999 -9999 
58015 2007 1 2 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 663 78 0 86 98 99 -9999 -9999 
58015 2007 1 3 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 681 83 0 87 99 99 -9999 -9999 
58015 2007 2 1 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 721 105 0 88 98 99 -9999 -9999 
58015 2007 2 2 冬小麦 返青 2月16日 普遍期 提前2天 -9999 -9999 1119 780 136 0 97 99 99 -9999 -9999 
58015 2007 2 3 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 846 174 0 78 99 99 -9999 -9999 
58015 2007 11 1 冬小麦 分蘖 11月8日 开始期 推迟3天 -9999 -9999 205 297 -68 0 76 77 92 -9999 -9999 
58015 2007 11 2 冬小麦 分蘖 11月12日 普遍期 推迟2天 -9999 -9999 -9999 371 -70 0 86 79 95 -9999 -9999 
58015 2007 11 3 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 427 -64 0 81 76 88 -9999 -9999 
58015 2007 12 1 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 464 -64 0 81 74 88 -9999 -9999 
58015 2007 12 2 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 487 -64 0 84 90 99 -9999 -9999 
58015 2007 12 3 冬小麦 停止生长 12月29日 普遍期 推迟7天 24 1 807 526 -42 0 84 91 99 -9999 -9999 
58015 2008 1 1 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 541 -37 0 78 92 99 -9999 -9999 
58015 2008 1 2 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 542 -44 0 87 95 99 -9999 -9999 
58015 2008 1 3 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 542 -56 -9999 -9999 -9999 -9999 -9999 -9999 
58015 2008 2 1 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 542 -74 0 88 95 99 -9999 -9999 
58015 2008 2 2 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 560 -85 0 80 94 99 -9999 -9999 
58015 2008 2 3 冬小麦 返青 2月28日 普遍期 推迟10天 -9999 -9999 967 598 -75 0 77 89 99 -9999 -9999 
58015 2008 3 1 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 678 -48 0 64 82 99 -9999 -9999 
58015 2008 3 2 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 802 -1 0 61 72 89 -9999 -9999 
58015 2008 3 3 冬小麦 拔节 3月28日 普遍期 提前3天 32 1 619 914 13 0 40 72 95 -9999 -9999 
58015 2008 4 1 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 1052 37 0 79 59 99 -9999 -9999 
58015 2008 4 2 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 1197 42 0 50 57 89 -9999 -9999 
58015 2008 4 3 冬小麦 抽穗 4月22日 普遍期 提前4天 -9999 -9999 340 1358 50 0 57 72 94 -9999 -9999 
58015 2008 5 1 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 1562 82 0 54 55 90 -9999 -9999 
58015 2008 5 2 冬小麦 乳熟 5月14日 普遍期 提前3天 75 1 339 1751 81 0 38 44 85 -9999 -9999 
58015 2008 5 3 冬小麦 成熟 5月30日 普遍期 提前2天 -9999 -9999 -9999 1983 77 0 56 40 81 -9999 -9999 
58015 2008 10 2 冬小麦 播种 10月15日 普遍期 推迟4天 -9999 -9999 -9999 91 -36 0 84 99 99 -9999 -9999 
58015 2008 10 3 冬小麦 出苗 10月22日 普遍期 推迟3天 -9999 -9999 -9999 236 -27 0 84 98 99 -9999 -9999 
58015 2008 11 1 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 218 349 -16 0 79 96 99 -9999 -9999 
58015 2008 11 2 冬小麦 分蘖 11月16日 普遍期 推迟6天 -9999 -9999 -9999 417 -25 0 77 93 99 -9999 -9999 
58015 2008 11 3 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 476 -15 0 79 89 99 -9999 -9999 
58015 2008 12 1 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 524 -53 0 78 93 99 -9999 -9999 
58015 2008 12 2 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 555 4 0 79 89 99 -9999 -9999 
58015 2008 12 3 冬小麦 停止生长 12月21日 普遍期 提前1天 21 1 1155 563 -5 0 82 91 98 -9999 -9999 
58015 2009 1 1 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 563 -15 0 76 97 99 -9999 -9999 
58015 2009 1 2 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 569 -17 0 83 91 99 -9999 -9999 
58015 2009 1 3 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 495 -4 0 75 89 93 -9999 -9999 
58015 2009 2 1 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 661 45 0 64 92 98 -9999 -9999 
