V01000 V04001 V04002 V04202 C56001 C56002 C56003 C56004 C56005_400 V56006 V56007 V56008 V56019 V56020 V56021 V56208_400_010 V56208_400_020 V56208_400_050 V56208_400_070 V56208_400_100
53478 2002 9 1 麻类 -9999 9月1日 普遍期 推迟3天 69 2 -9999 2093 105 3 36 57 55 -9999 -9999 
53478 2002 9 1 马铃薯 -9999 -9999 -9999 -9999 -9999 -9999 -9999 2180 121 0 46 64 48 -9999 -9999 
53478 2002 9 2 马铃薯 可收 9月14日 普遍期 推迟3天 48 2 7090 2218 109 0 92 98 68 -9999 -9999 
53478 2003 5 1 麻类 -9999 5月4日 普遍期 提前1天 -9999 -9999 -9999 63 -9 0 74 78 66 -9999 -9999 
53478 2003 5 2 麻类 -9999 5月18日 普遍期 提前0天 -9999 -9999 -9999 188 -10 0 86 98 67 -9999 -9999 
53478 2003 5 2 马铃薯 播种 5月12日 普遍期 推迟1天 -9999 -9999 -9999 95 -6 0 83 99 76 -9999 -9999 
53478 2003 6 1 麻类 -9999 -9999 -9999 -9999 -9999 -9999 -9999 540 13 0 45 59 56 -9999 -9999 
53478 2003 6 1 马铃薯 -9999 -9999 -9999 -9999 -9999 -9999 -9999 447 17 0 59 66 62 -9999 -9999 
53478 2003 6 2 马铃薯 出苗 6月12日 普遍期 提前0天 -9999 -9999 -9999 613 7 0 43 54 57 -9999 -9999 
53478 2003 6 2 -9999 -9999 6月12日 普遍期 推迟7天 6 2 -9999 706 4 0 60 73 68 -9999 -9999 
53478 2003 6 3 麻类 -9999 6月28日 开始期 提前0天 -9999 -9999 -9999 873 -16 0 43 47 50 -9999 -9999 
53478 2003 6 3 马铃薯 -9999 6月30日 普遍期 推迟6天 0 -9999 4685 792 -12 0 52 57 59 -9999 -9999 
53478 2003 7 1 麻类 -9999 7月4日 普遍期 推迟1天 -9999 -9999 -9999 1079 -31 0 36 41 48 -9999 -9999 
53478 2003 7 1 马铃薯 花序形成 7月10日 普遍期 推迟4天 -9999 -9999 -9999 955 -27 0 56 68 56 -9999 -9999 
53478 2003 7 2 麻类 -9999 7月14日 普遍期 推迟3天 -9999 -9999 -9999 1235 -39 0 71 61 34 -9999 -9999 
53478 2003 7 2 马铃薯 开花 7月18日 普遍期 推迟2天 -9999 -9999 -9999 1142 -35 0 82 73 54 -9999 -9999 
53478 2003 7 3 麻类 -9999 -9999 -9999 -9999 -9999 -9999 -9999 1458 -32 0 77 80 33 -9999 -9999 
53478 2003 7 3 马铃薯 -9999 -9999 -9999 -9999 -9999 -9999 -9999 1365 -28 0 77 83 62 -9999 -9999 
53478 2003 8 1 麻类 -9999 8月6日 普遍期 提前0天 -9999 -9999 -9999 1651 -29 0 50 62 48 -9999 -9999 
53478 2003 8 1 马铃薯 -9999 -9999 -9999 -9999 -9999 -9999 -9999 1558 -26 0 66 77 65 -9999 -9999 
53478 2003 8 2 麻类 -9999 -9999 -9999 -9999 -9999 -9999 -9999 1831 -24 0 38 48 42 -9999 -9999 
53478 2003 8 2 马铃薯 -9999 -9999 -9999 -9999 -9999 -9999 -9999 1738 -21 0 58 70 61 -9999 -9999 
53478 2003 8 3 麻类 -9999 -9999 -9999 -9999 -9999 -9999 -9999 2016 -16 0 77 39 35 -9999 -9999 
53478 2003 8 3 马铃薯 -9999 -9999 -9999 -9999 -9999 -9999 -9999 1923 -13 0 90 70 56 -9999 -9999 
53478 2003 9 1 麻类 -9999 -9999 -9999 -9999 -9999 -9999 -9999 2151 -16 0 48 48 31 -9999 -9999 
53478 2003 9 1 马铃薯 -9999 -9999 -9999 -9999 -9999 -9999 -9999 2058 -12 0 59 62 56 -9999 -9999 
53478 2003 9 2 麻类 -9999 9月12日 普遍期 推迟15天 70 2 -9999 2181 -12 0 47 52 36 -9999 -9999 
53478 2003 9 2 马铃薯 可收 9月14日 普遍期 推迟3天 50 2 4685 2125 5 0 47 57 48 -9999 -9999 
53478 2004 5 2 麻类 -9999 5月20日 普遍期 推迟2天 -9999 -9999 -9999 133 -44 0 72 76 79 -9999 -9999 
53478 2004 5 3 麻类 -9999 5月30日 普遍期 推迟4天 -9999 -9999 -9999 290 -53 0 76 79 61 -9999 -9999 
53478 2004 5 3 马铃薯 播种 5月22日 普遍期 推迟11天 -9999 -9999 -9999 132 -148 0 86 84 62 -9999 -9999 
53478 2004 6 1 麻类 -9999 6月8日 普遍期 推迟1天 5 2 -9999 460 -46 0 49 59 64 -9999 -9999 
53478 2004 6 1 马铃薯 未进 -9999 -9999 -9999 -9999 -9999 -9999 302 -140 0 65 68 56 -9999 -9999 
53478 2004 6 2 麻类 -9999 -9999 -9999 -9999 -9999 -9999 -9999 631 -51 0 69 68 66 -9999 -9999 
53478 2004 6 2 马铃薯 出苗 6月16日 普遍期 推迟5天 -9999 -9999 -9999 473 -146 0 87 87 67 -9999 -9999 
53478 2004 6 3 麻类 -9999 6月28日 开始期 推迟1天 -9999 -9999 -9999 828 -40 4 37 46 72 -9999 -9999 
53478 2004 6 3 马铃薯 -9999 6月28日 普遍期 推迟2天 12 2 434 670 -135 3 38 66 70 -9999 -9999 
53478 2004 7 1 麻类 -9999 7月4日 普遍期 推迟2天 -9999 -9999 -9999 25 -33 4 28 34 50 -9999 -9999 
53478 2004 7 1 马铃薯 花序形成 7月6日 开始期 推迟4天 -9999 -9999 -9999 868 -128 0 50 56 65 -9999 -9999 
53478 2004 7 2 麻类 -9999 7月16日 普遍期 推迟4天 -9999 -9999 -9999 1217 -36 3 32 33 38 -9999 -9999 
53478 2004 7 2 马铃薯 花序形成 7月12日 普遍期 推迟2天 -9999 -9999 -9999 1059 -131 0 52 54 60 -9999 -9999 
53478 2004 7 3 麻类 -9999 -9999 -9999 -9999 -9999 -9999 -9999 1435 -14 0 52 43 35 -9999 -9999 
53478 2004 7 3 马铃薯 开花 7月22日 普遍期 推迟3天 -9999 -9999 -9999 1277 -108 0 69 62 61 -9999 -9999 
53478 2004 8 1 麻类 -9999 -9999 -9999 -9999 -9999 -9999 -9999 1640 1 0 64 71 63 -9999 -9999 
53478 2004 8 1 马铃薯 未进 -9999 -9999 -9999 -9999 -9999 -9999 1482 -94 0 77 87 73 -9999 -9999 
53478 2004 8 2 麻类 -9999 8月12日 普遍期 推迟5天 -9999 -9999 -9999 1791 -23 0 77 81 60 -9999 -9999 
53478 2004 8 2 马铃薯 未进 -9999 -9999 -9999 -9999 -9999 -9999 1633 -118 0 88 94 74 -9999 -9999 
53478 2004 8 3 麻类 -9999 -9999 -9999 -9999 -9999 -9999 -9999 1951 -41 0 96 99 93 -9999 -9999 
