V01000 V04001 V04002 V04202 C56001 C56002 C56003 C56004 C56005_400 V56006 V56007 V56008 V56019 V56020 V56021 V56208_400_010 V56208_400_020 V56208_400_050 V56208_400_070 V56208_400_100
59072 1991 10 1 晚稻 未进 -9999 -9999 -9999 -9999 -9999 -9999 2715 75 -9999 -9999 -9999 -9999 -9999 -9999 
59072 1991 10 2 晚稻 成熟 10月18日 普遍期 提前11天 -9999 -9999 -9999 2889 79 -9999 -9999 -9999 -9999 -9999 -9999 
59072 1992 4 1 早稻 出苗 04月03日 普遍期 推迟10天 -9999 -9999 -9999 173 -224 -9999 -9999 -9999 -9999 -9999 -9999 
59072 1992 4 3 早稻 出苗 04月03日 普遍期 推迟10天 -9999 -9999 -9999 615 -191 -9999 -9999 -9999 -9999 -9999 -9999 
59072 1992 5 1 早稻 返青 05月06日 普遍期 推迟4天 30 1 80 853 -184 -9999 -9999 -9999 -9999 -9999 -9999 
59072 1992 7 3 晚稻 未进 -9999 -9999 -9999 -9999 -9999 -9999 621 -149 -9999 -9999 -9999 -9999 -9999 -9999 
59072 1992 7 3 早稻 成熟 07月30日 普遍期 推迟5天 -9999 -9999 -9999 3004 -230 -9999 -9999 -9999 -9999 -9999 -9999 
59072 1992 8 1 晚稻 返青 08月10日 普遍期 推迟7天 40 1 70 912 -96 -9999 -9999 -9999 -9999 -9999 -9999 
59072 1992 10 3 晚稻 成熟 10月29日 普遍期 推迟1天 -9999 -9999 -9999 2886 -94 -9999 -9999 -9999 -9999 -9999 -9999 
59072 1993 3 3 早稻 播种 03月28日 普遍期 推迟10天 -9999 -9999 -9999 40 -164 -9999 -9999 -9999 -9999 -9999 -9999 
59072 1993 4 3 早稻 播种 03月28日 普遍期 推迟10天 -9999 -9999 -9999 626 -165 -9999 -9999 -9999 -9999 -9999 -9999 
59072 1993 5 1 早稻 返青 05月08日 普遍期 推迟6天 30 1 72 842 -180 -9999 -9999 -9999 -9999 -9999 -9999 
59072 1993 6 3 早稻 抽穗 06月26日 普遍期 提前4天 65 1 -9999 2146 -189 -9999 -9999 -9999 -9999 -9999 -9999 
59072 1993 7 1 晚稻 播种 07月10日 普遍期 推迟6天 -9999 -9999 -9999 -9999 -170 -9999 -9999 -9999 -9999 -9999 -9999 
59072 1993 7 1 早稻 乳熟 07月07日 普遍期 提前3天 90 1 198 2439 -181 -9999 -9999 -9999 -9999 -9999 -9999 
59072 1993 7 2 早稻 乳熟 07月07日 普遍期 提前3天 90 1 198 2729 -178 -9999 -9999 -9999 -9999 -9999 -9999 
59072 1993 7 3 晚稻 播种 07月10日 普遍期 推迟6天 -9999 -9999 -9999 609 -161 -9999 -9999 -9999 -9999 -9999 -9999 
59072 1993 7 3 早稻 成熟 07月23日 普遍期 提前3天 -9999 -9999 -9999 2815 -177 -9999 -9999 -9999 -9999 -9999 -9999 
59072 1993 8 1 晚稻 返青 08月07日 普遍期 推迟3天 39 1 76 899 -154 -9999 -9999 -9999 -9999 -9999 -9999 
59072 1993 10 3 晚稻 成熟 10月30日 普遍期 推迟2天 -9999 -9999 -9999 2848 -196 -9999 -9999 -9999 -9999 -9999 -9999 
59072 1994 3 3 早稻 播种 03月29日 普遍期 推迟10天 -9999 -9999 -9999 29 -160 -9999 -9999 -9999 -9999 -9999 -9999 
59072 1994 4 1 早稻 出苗 04月02日 普遍期 推迟7天 -9999 -9999 -9999 246 -120 -9999 -9999 -9999 -9999 -9999 -9999 
59072 1994 4 3 早稻 出苗 04月02日 普遍期 推迟7天 -9999 -9999 -9999 668 -108 -9999 -9999 -9999 -9999 -9999 -9999 
59072 1994 5 1 早稻 返青 05月05日 普遍期 推迟2天 24 1 426 912 -96 -9999 -9999 -9999 -9999 -9999 -9999 
59072 1994 6 2 早稻 孕穗 06月12日 普遍期 提前9天 -9999 -9999 -9999 1965 -79 -9999 -9999 -9999 -9999 -9999 -9999 
59072 1994 6 3 早稻 抽穗 06月23日 普遍期 提前7天 -9999 -9999 203 2244 -76 -9999 -9999 -9999 -9999 -9999 -9999 
59072 1994 7 1 晚稻 出苗 07月09日 普遍期 推迟1天 -9999 -9999 -9999 86 -56 -9999 -9999 -9999 -9999 -9999 -9999 
59072 1994 7 1 早稻 乳熟 07月04日 普遍期 提前6天 75 3 186 2525 -80 -9999 -9999 -9999 -9999 -9999 -9999 
59072 1994 7 2 晚稻 未进 -9999 -9999 -9999 -9999 -9999 -9999 365 -65 -9999 -9999 -9999 -9999 -9999 -9999 
59072 1994 7 2 早稻 成熟 07月20日 普遍期 提前6天 -9999 -9999 -9999 2804 -8 -9999 -9999 -9999 -9999 -9999 -9999 
59072 1994 7 3 晚稻 移栽 07月30日 普遍期 提前1天 42 1 486 657 -84 -9999 -9999 -9999 -9999 -9999 -9999 
59072 1994 8 1 晚稻 返青 08月03日 普遍期 提前1天 -9999 -9999 59 934 -91 -9999 -9999 -9999 -9999 -9999 -9999 
59072 1994 8 2 晚稻 分蘖 08月12日 普遍期 推迟2天 -9999 -9999 99 1209 -97 -9999 -9999 -9999 -9999 -9999 -9999 
59072 1994 9 3 晚稻 抽穗 09月26日 普遍期 推迟4天 -9999 -9999 129 2270 -113 -9999 -9999 -9999 -9999 -9999 -9999 
59072 1994 10 3 晚稻 抽穗 09月26日 普遍期 推迟4天 -9999 -9999 129 2890 -146 -9999 -9999 -9999 -9999 -9999 -9999 
59072 1994 11 1 晚稻 成熟 11月04日 普遍期 推迟7天 -9999 -9999 -9999 2958 -150 -9999 -9999 -9999 -9999 -9999 -9999 
59072 1995 5 1 早稻 分蘖 05月10日 开始期 99 -9999 -9999 -9999 882 -112 -9999 -9999 -9999 -9999 -9999 -9999 
59072 1995 6 1 早稻 分蘖 05月10日 开始期 99 -9999 -9999 -9999 1672 -91 -9999 -9999 -9999 -9999 -9999 -9999 
59072 1995 6 2 早稻 孕穗 06月20日 开始期 -99 -9999 -9999 -9999 1934 -96 -9999 -9999 -9999 -9999 -9999 -9999 
59072 1995 6 3 早稻 抽穗 06月28日 开始期 -99 -9999 -9999 -9999 2225 -82 -9999 -9999 -9999 -9999 -9999 -9999 
59072 1995 7 1 晚稻 播种 07月09日 普遍期 推迟4天 -9999 -9999 -9999 30 -112 -9999 -9999 -9999 -9999 -9999 -9999 
59072 1995 7 1 早稻 抽穗 07月01日 普遍期 推迟2天 -9999 -9999 252 2504 -87 -9999 -9999 -9999 -9999 -9999 -9999 
59072 1995 7 2 晚稻 出苗 07月12日 普遍期 推迟4天 -9999 -9999 -9999 323 -106 -9999 -9999 -9999 -9999 -9999 -9999 
59072 1995 7 2 早稻 乳熟 07月12日 普遍期 推迟2天 87 1 239 2824 -54 -9999 -9999 -9999 -9999 -9999 -9999 
59072 1995 7 3 早稻 成熟 07月24日 普遍期 提前2天 -9999 -9999 -9999 3120 -71 -9999 -9999 -9999 -9999 -9999 -9999 
59072 1995 8 1 晚稻 返青 08月08日 普遍期 推迟4天 56 1 96 920 -105 -9999 -9999 -9999 -9999 -9999 -9999 
59072 1995 10 2 晚稻 未进 -9999 -9999 -9999 -9999 -9999 -9999 2729 -95 -9999 -9999 -9999 -9999 -9999 -9999 
59072 1996 4 1 早稻 出苗 04月06日 普遍期 推迟10天 -9999 -9999 -9999 117 -219 -9999 -9999 -9999 -9999 -9999 -9999 
59072 1996 4 3 早稻 返青 04月30日 普遍期 提前2天 10 1 32 507 -239 -9999 -9999 -9999 -9999 -9999 -9999 
59072 1996 5 1 早稻 分蘖 05月10日 普遍期 提前3天 -9999 -9999 -9999 728 -250 -9999 -9999 -9999 -9999 -9999 -9999 
59072 1996 5 3 早稻 分蘖 05月10日 普遍期 提前3天 -9999 -9999 -9999 1238 -252 -9999 -9999 -9999 -9999 -9999 -9999 
59072 1996 7 1 晚稻 播种 07月09日 普遍期 推迟4天 -9999 -9999 -9999 29 -115 -9999 -9999 -9999 -9999 -9999 -9999 
59072 1996 7 1 早稻 乳熟 07月10日 普遍期 正常 102 1 173 2354 -221 -9999 -9999 -9999 -9999 -9999 -9999 
59072 1996 7 2 早稻 乳熟 07月10日 普遍期 正常 102 1 173 2634 -227 -9999 -9999 -9999 -9999 -9999 -9999 
59072 1996 7 3 晚稻 播种 07月09日 普遍期 推迟4天 -9999 -9999 -9999 620 -123 -9999 -9999 -9999 -9999 -9999 -9999 
59072 1996 7 3 早稻 成熟 07月28日 普遍期 推迟2天 -9999 -9999 -9999 2945 -229 -9999 -9999 -9999 -9999 -9999 -9999 
59072 1996 8 1 晚稻 返青 08月06日 普遍期 推迟2天 46 1 64 904 -123 -9999 -9999 -9999 -9999 -9999 -9999 
59072 1996 8 2 晚稻 分蘖 08月14日 普遍期 推迟3天 -9999 -9999 127 1173 -134 -9999 -9999 -9999 -9999 -9999 -9999 
59072 1996 10 3 晚稻 成熟 10月30日 普遍期 推迟1天 -9999 -9999 -9999 2902 -115 -9999 -9999 -9999 -9999 -9999 -9999 
