V01000 V04001 V04002 V04202 C56001 C56002 C56003 C56004 C56005_400 V56006 V56007 V56008 V56019 V56020 V56021 V56208_400_010 V56208_400_020 V56208_400_050 V56208_400_070 V56208_400_100
57947 1991 9 2 晚稻 未进 -9999 -9999 -9999 -9999 -9999 -9999 2215 -22 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1991 9 3 晚稻 孕穗 09月28日 普遍期 推迟7天 34 2 183 2459 -19 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1991 10 1 晚稻 抽穗 10月08日 普遍期 推迟6天 62 2 -9999 2692 -10 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1991 10 2 晚稻 乳熟 10月20日 普遍期 推迟5天 69 2 106 2887 -24 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1991 10 3 晚稻 乳熟 10月20日 普遍期 推迟5天 69 2 106 3074 -42 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1991 11 1 晚稻 乳熟 10月20日 普遍期 推迟5天 69 2 106 3238 -54 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1992 3 3 早稻 出苗 03月30日 普遍期 提前2天 -9999 -9999 -9999 65 -1 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1992 4 1 早稻 未进 -9999 -9999 -9999 -9999 -9999 -9999 256 16 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1992 4 2 早稻 出苗 03月30日 普遍期 提前2天 -9999 -9999 -9999 458 28 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1992 4 3 早稻 移栽 04月29日 普遍期 提前2天 31 2 -9999 687 45 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1992 5 1 早稻 分蘖 05月09日 开始期 提前6天 30 2 56 932 67 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1992 5 2 早稻 分蘖 05月11日 普遍期 提前6天 39 2 148 1142 47 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1992 5 3 早稻 分蘖 05月11日 普遍期 提前6天 39 2 148 1401 36 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1992 6 1 早稻 分蘖 05月11日 普遍期 提前6天 39 2 148 1666 47 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1992 6 2 早稻 孕穗 06月18日 普遍期 提前4天 42 2 252 1931 52 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1992 7 3 晚稻 未进 -9999 -9999 -9999 -9999 -9999 -9999 793 -45 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1992 7 3 早稻 成熟 07月30日 普遍期 推迟2天 -9999 -9999 -9999 3027 67 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1992 8 1 晚稻 移栽 08月08日 普遍期 推迟1天 21 2 45 1098 -20 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1992 8 2 晚稻 分蘖 08月15日 末期 提前3天 32 2 81 1387 -6 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1992 8 3 晚稻 分蘖 08月15日 末期 提前3天 32 2 81 1702 8 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1992 9 1 晚稻 分蘖 08月15日 末期 提前3天 32 2 81 1971 11 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1992 9 2 晚稻 孕穗 09月17日 开始期 提前1天 -9999 -9999 -9999 2241 32 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1992 9 3 晚稻 抽穗 09月30日 普遍期 提前4天 64 2 210 2497 47 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1992 10 1 晚稻 抽穗 10月03日 末期 提前6天 -9999 -9999 -9999 2710 36 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1992 10 2 晚稻 乳熟 10月13日 普遍期 提前3天 78 2 131 2896 13 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1992 10 3 晚稻 乳熟 10月13日 普遍期 提前3天 78 2 131 3101 13 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1992 11 1 晚稻 成熟 11月05日 普遍期 提前6天 -9999 -9999 -9999 3198 -66 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1993 3 3 早稻 出苗 03月30日 普遍期 提前1天 -9999 -9999 -9999 57 -9 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1993 4 1 早稻 出苗 03月30日 普遍期 提前1天 -9999 -9999 -9999 228 -12 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1993 4 2 早稻 出苗 03月30日 普遍期 提前1天 -9999 -9999 -9999 397 -33 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1993 4 3 早稻 出苗 03月30日 普遍期 提前1天 -9999 -9999 -9999 635 -7 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1993 5 1 早稻 返青 05月08日 普遍期 推迟2天 35 2 34 849 -16 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1993 5 2 早稻 返青 05月15日 普遍期 提前1天 39 2 61 1073 -22 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1993 5 3 早稻 返青 05月15日 普遍期 提前1天 39 1 61 1340 -24 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1993 6 1 早稻 返青 05月15日 普遍期 提前1天 39 1 61 1594 -25 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1993 6 2 早稻 孕穗 06月19日 普遍期 提前3天 39 2 182 1858 -21 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1993 6 3 早稻 抽穗 06月29日 普遍期 提前1天 72 2 -9999 2129 -22 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1993 7 1 晚稻 出苗 07月08日 普遍期 推迟3天 -9999 -9999 -9999 232 -20 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1993 7 1 早稻 乳熟 07月10日 普遍期 提前1天 85 2 150 2384 -46 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1993 7 2 晚稻 出苗 07月08日 普遍期 推迟3天 -9999 -9999 -9999 411 -120 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1993 7 2 早稻 乳熟 07月10日 普遍期 提前1天 85 2 150 2664 -46 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1993 7 3 晚稻 出苗 07月08日 普遍期 推迟3天 -9999 -9999 -9999 722 -117 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1993 7 3 早稻 成熟 07月30日 普遍期 推迟1天 -9999 -9999 -9999 2948 -13 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1993 8 1 晚稻 移栽 08月09日 普遍期 推迟3天 69 2 -9999 1002 -115 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1993 8 2 晚稻 分蘖 08月20日 普遍期 推迟4天 45 2 44 1282 -111 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1993 8 3 晚稻 分蘖 08月21日 末期 推迟3天 -9999 -9999 -9999 1574 -120 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1993 9 1 晚稻 分蘖 08月21日 末期 推迟3天 -9999 -9999 -9999 1826 -134 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1993 9 3 晚稻 孕穗 09月22日 普遍期 正常 36 3 215 2333 -117 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1993 10 1 晚稻 抽穗 10月03日 普遍期 正常 61 3 -9999 2533 -141 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1993 10 2 晚稻 乳熟 10月18日 普遍期 推迟2天 66 3 113 2729 -154 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1993 10 3 晚稻 乳熟 10月18日 普遍期 推迟2天 66 3 113 2926 -163 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1993 11 1 晚稻 成熟 11月07日 普遍期 提前3天 -9999 -9999 -9999 3053 -211 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1994 3 3 早稻 播种 03月28日 普遍期 推迟1天 -9999 -9999 -9999 47 -19 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1994 4 1 早稻 出苗 04月02日 普遍期 推迟1天 -9999 -9999 -9999 252 12 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1994 4 3 早稻 出苗 04月02日 普遍期 推迟1天 -9999 -9999 -9999 666 24 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1994 5 1 早稻 返青 05月06日 普遍期 提前1天 -9999 -9999 48 903 38 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1994 5 2 早稻 分蘖 05月13日 0 提前22天 51 -9999 1003 0 66 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1994 5 3 早稻 分蘖 05月13日 0 提前22天 51 -9999 1003 1435 71 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1994 6 1 早稻 分蘖 05月13日 0 提前22天 51 -9999 1003 1698 79 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1994 6 3 早稻 抽穗 06月25日 普遍期 提前5天 -9999 -9999 155 2214 63 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1994 7 1 晚稻 出苗 07月05日 普遍期 推迟14天 -9999 -9999 -9999 250 -379 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1994 7 1 早稻 乳熟 07月04日 普遍期 提前7天 91 2 140 2494 65 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1994 7 2 晚稻 未进 -9999 -9999 -9999 -9999 -9999 -9999 515 -395 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1994 7 2 早稻 乳熟 07月04日 普遍期 提前7天 91 2 140 2759 49 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1994 7 3 晚稻 未进 -9999 -9999 -9999 -9999 -9999 -9999 812 -404 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1994 7 3 早稻 成熟 07月26日 普遍期 提前3天 -9999 -9999 -9999 2919 -42 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1994 8 1 晚稻 返青 08月09日 普遍期 正常 -9999 -9999 40 1086 -409 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1994 8 2 晚稻 分蘖 08月19日 普遍期 提前3天 -9999 -9999 65 1354 -417 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1994 8 3 晚稻 分蘖 08月19日 普遍期 提前3天 -9999 -9999 65 1646 -425 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1994 9 1 晚稻 分蘖 08月19日 普遍期 提前3天 -9999 -9999 65 2588 -417 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1994 9 2 晚稻 孕穗 09月16日 普遍期 提前9天 -9999 -9999 -9999 2156 -432 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1994 10 1 晚稻 抽穗 10月01日 末期 提前7天 -9999 -9999 -9999 2582 -470 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1994 10 2 晚稻 乳熟 10月14日 普遍期 提前4天 81 2 95 2785 -476 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1994 10 3 晚稻 乳熟 10月14日 普遍期 提前4天 81 2 95 2956 -510 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1994 11 1 晚稻 成熟 11月08日 普遍期 提前4天 -9999 -9999 -9999 3095 -547 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1995 4 3 早稻 移栽 04月28日 普遍期 提前3天 33 2 607 785 143 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1995 5 1 早稻 返青 05月04日 普遍期 提前3天 -9999 -9999 36 1003 138 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1995 5 2 早稻 分蘖 05月14日 普遍期 提前2天 -9999 -9999 106 1233 138 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1995 5 3 早稻 分蘖 05月14日 普遍期 提前2天 -9999 -9999 106 1509 144 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1995 6 1 早稻 分蘖 05月14日 普遍期 提前2天 -9999 -9999 106 1768 149 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1995 6 2 早稻 孕穗 06月16日 普遍期 提前5天 -9999 -9999 -9999 2028 148 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1995 6 3 早稻 抽穗 06月25日 普遍期 提前4天 -9999 -9999 143 2310 160 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1995 7 1 晚稻 出苗 07月10日 普遍期 推迟4天 -9999 -9999 -9999 86 2 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1995 7 1 早稻 乳熟 07月07日 普遍期 提前3天 96 2 149 2583 54 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1995 7 2 晚稻 未进 -9999 -9999 -9999 -9999 -9999 -9999 370 6 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1995 7 2 早稻 乳熟 07月07日 普遍期 提前3天 96 2 149 2867 158 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1995 7 3 早稻 成熟 07月24日 普遍期 提前5天 -9999 -9999 -9999 2988 27 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1995 7 3 晚稻 移栽 07月30日 普遍期 提前7天 22 2 953 696 24 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1995 8 1 晚稻 返青 08月06日 普遍期 提前5天 -9999 -9999 72 968 18 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1995 8 2 晚稻 返青 08月12日 普遍期 提前5天 -9999 -9999 124 1236 10 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1995 8 3 晚稻 返青 08月12日 普遍期 提前5天 -9999 -9999 124 1540 14 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1995 9 1 晚稻 孕穗 09月10日 普遍期 提前12天 -9999 -9999 -9999 1820 27 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1995 9 2 晚稻 抽穗 09月19日 普遍期 提前14天 75 2 177 2071 28 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1995 9 3 晚稻 抽穗 09月21日 末期 提前17天 -9999 -9999 -9999 2303 20 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1995 10 1 晚稻 乳熟 10月02日 普遍期 提前14天 82 2 171 2514 7 -9999 -9999 -9999 -9999 -9999 -9999 
57947 1995 10 2 晚稻 乳熟 10月02日 普遍期 提前14天 82 2 171 2750 33 -9999 -9999 -9999 -9999 -9999 -9999 
