V01000 V04001 V04002 V04202 C56001 C56002 C56003 C56004 C56005_400 V56006 V56007 V56008 V56019 V56020 V56021 V56208_400_010 V56208_400_020 V56208_400_050 V56208_400_070 V56208_400_100
51053 1999 6 1 春小麦 拔节 06月04日 普遍期 推迟3天 28 1 -9999 821 25 0 -9999 -9999 -9999 -9999 -9999 
51068 1992 6 2 春小麦 乳熟 06月16日 普遍期 提前8天 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 
51068 1994 6 3 春小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 775 -105 -9999 -9999 -9999 -9999 -9999 -9999 
51068 1994 6 3 牧草 未进 06月29日 -9999 -9999 -9999 -9999 -9999 676 -109 -9999 -9999 -9999 -9999 -9999 -9999 
51068 1994 6 3 油菜 现蕾 06月27日 普遍期 推迟11天 -9999 -9999 -9999 435 -31 -9999 -9999 -9999 -9999 -9999 -9999 
51068 1996 5 3 春玉米 三叶 05月28日 普遍期 推迟5天 -9999 -9999 -9999 270 -151 -9999 -9999 -9999 -9999 -9999 -9999 
51068 1996 5 3 冬小麦 抽穗 05月28日 普遍期 提前5天 -9999 -9999 270 1085 -353 0 -9999 -9999 -9999 -9999 -9999 
51076 1992 4 2 春小麦 播种 04月15日 普遍期 提前1天 -9999 -9999 -9999 46 10 0 98 87 66 -9999 -9999 
51076 1992 4 3 春小麦 出苗 04月26日 普遍期 提前3天 -9999 -9999 -9999 159 20 0 99 90 72 -9999 -9999 
51076 1992 5 3 春小麦 拔节 05月29日 普遍期 提前4天 11 1 563 648 47 0 -9999 -9999 -9999 -9999 -9999 
51076 1992 6 1 春小麦 拔节 05月29日 普遍期 提前4天 11 1 563 824 29 0 -9999 -9999 -9999 -9999 -9999 
51076 1992 6 2 春小麦 抽穗 06月18日 普遍期 推迟1天 53 1 -9999 994 -6 0 -9999 -9999 -9999 -9999 -9999 
51076 1992 7 3 春小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 1891 -10 0 -9999 -9999 -9999 -9999 -9999 
51076 1992 8 1 春小麦 成熟 08月03日 普遍期 推迟1天 -9999 -9999 -9999 1937 -8 0 67 70 67 -9999 -9999 
51076 1992 9 2 早稻 播种 09月17日 -9999 -9999 -9999 -9999 -9999 -9999 -9999 66 10 -9999 -9999 -9999 -9999 
51076 1993 4 3 春小麦 出苗 04月26日 普遍期 提前3天 -9999 -9999 -9999 160 21 0 92 99 55 -9999 -9999 
51076 1993 5 1 春小麦 出苗 04月26日 普遍期 提前3天 -9999 -9999 -9999 247 -19 0 71 82 48 -9999 -9999 
51076 1993 5 2 春小麦 分蘖 05月20日 普遍期 正常 16 1 -9999 360 -50 0 55 64 48 -9999 -9999 
51076 1993 5 3 春小麦 拔节 05月30日 开始期 -9999 -9999 -9999 -9999 530 -70 0 -9999 -9999 -9999 -9999 -9999 
51076 1993 6 1 春小麦 拔节 06月02日 普遍期 正常 9 1 678 712 -84 0 -9999 -9999 -9999 -9999 -9999 
51076 1993 6 2 春小麦 拔节 06月02日 普遍期 正常 9 1 678 896 -104 0 72 79 47 -9999 -9999 
51076 1993 6 3 春小麦 抽穗 06月23日 末期 推迟6天 56 1 -9999 1107 -106 0 -9999 -9999 -9999 -9999 -9999 
51076 1993 7 1 春小麦 抽穗 06月23日 末期 推迟6天 56 1 -9999 1307 -126 0 -9999 -9999 -9999 -9999 -9999 
51076 1993 7 2 春小麦 乳熟 07月17日 普遍期 推迟8天 80 1 410 1519 -135 0 -9999 -9999 -9999 -9999 -9999 
51076 1993 7 2 晚稻 乳熟 07月18日 普遍期 推迟8天 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 
51076 1993 7 3 春小麦 乳熟 07月17日 普遍期 推迟8天 80 1 410 0 -153 0 -9999 -9999 -9999 -9999 -9999 
51076 1993 8 1 春小麦 成熟 08月07日 普遍期 推迟5天 -9999 -9999 -9999 1852 -93 0 99 99 61 -9999 -9999 
51076 1993 9 1 一季稻 未进 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 66 31 89 47 -9999 -9999 
51076 1994 4 2 早稻 未进 04月14日 0 提前11天 30 1 -9999 22 -14 34 22 99 87 -9999 -9999 
51076 1994 4 3 春小麦 出苗 04月26日 普遍期 提前3天 -9999 -9999 -9999 136 -3 0 78 51 60 -9999 -9999 
51076 1994 5 1 春小麦 出苗 04月26日 普遍期 提前3天 -9999 -9999 -9999 290 24 0 72 89 75 -9999 -9999 
51076 1994 5 2 春小麦 分蘖 05月20日 普遍期 正常 -9999 -9999 -9999 453 43 0 -9999 -9999 -9999 -9999 -9999 
51076 1994 6 1 春小麦 拔节 06月02日 普遍期 正常 29 1 -9999 817 22 0 -9999 -9999 -9999 -9999 -9999 
51076 1994 6 2 春小麦 抽穗 06月18日 开始期 -99 -9999 -9999 -9999 1035 35 0 -9999 -9999 -9999 -9999 -9999 
51076 1994 6 3 春小麦 抽穗 06月22日 普遍期 推迟4天 -9999 -9999 -9999 1250 37 0 -9999 -9999 -9999 -9999 -9999 
51076 1994 7 1 一季稻 返青 07月02日 -9999 -9999 -9999 -9999 -9999 1471 38 66 9 -9999 -9999 -9999 -9999 
51076 1994 7 2 春小麦 乳熟 07月20日 普遍期 推迟10天 75 1 -9999 1686 33 0 -9999 -9999 -9999 -9999 -9999 
51076 1994 7 3 春小麦 乳熟 07月20日 普遍期 推迟10天 75 1 -9999 1908 7 0 -9999 -9999 -9999 -9999 -9999 
51076 1994 8 1 春小麦 成熟 08月05日 普遍期 推迟3天 -9999 -9999 -9999 2001 56 0 69 85 59 -9999 -9999 
51076 1994 9 2 早稻 播种 09月11日 -9999 -9999 -9999 -9999 -9999 -9999 -9999 66 4 24 59 -9999 -9999 
