V01000 V04001 V04002 V04202 C56001 C56002 C56003 C56004 C56005_400 V56006 V56007 V56008 V56019 V56020 V56021 V56208_400_010 V56208_400_020 V56208_400_050 V56208_400_070 V56208_400_100
58012 1992 5 2 冬小麦 抽穗 04月24日 普遍期 提前2天 71 2 -9999 1869 65 -9999 -9999 -9999 -9999 -9999 -9999 
58012 1992 5 3 冬小麦 乳熟 05月21日 普遍期 提前1天 83 2 602 2133 95 -9999 -9999 -9999 -9999 -9999 -9999 
58012 1992 9 2 棉花 裂铃 09月13日 开始期 推迟13天 -9999 -9999 -9999 3800 -15 -9999 -9999 -9999 -9999 -9999 -9999 
58012 1992 9 3 棉花 裂铃 09月28日 普遍期 推迟22天 -9999 -9999 -9999 3990 -14 -9999 -9999 -9999 -9999 -9999 -9999 
58012 1992 10 1 冬小麦 出苗 10月10日 普遍期 提前6天 -9999 -9999 -9999 109 57 -9999 -9999 -9999 -9999 -9999 -9999 
58012 1992 10 1 棉花 裂铃 09月28日 普遍期 推迟22天 -9999 -9999 -9999 4139 -35 -9999 -9999 -9999 -9999 -9999 -9999 
58012 1992 10 2 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 239 41 -9999 -9999 -9999 -9999 -9999 -9999 
58012 1992 10 2 棉花 裂铃 10月12日 末期 推迟34天 -9999 -9999 -9999 4269 -57 -9999 -9999 -9999 -9999 -9999 -9999 
58012 1992 10 3 冬小麦 分蘖 10月25日 普遍期 提前9天 15 2 -9999 363 20 -9999 -9999 -9999 -9999 -9999 -9999 
58012 1992 10 3 棉花 停止生长 10月24日 普遍期 -9999 -9999 -9999 -9999 4314 -153 -9999 -9999 -9999 -9999 -9999 -9999 
58012 1992 11 1 冬小麦 出苗 10月10日 普遍期 提前6天 -9999 -9999 -9999 449 7 -9999 -9999 -9999 -9999 -9999 -9999 
58012 1992 11 2 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 526 5 -9999 -9999 -9999 -9999 -9999 -9999 
58012 1992 11 3 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 582 7 -9999 -9999 -9999 -9999 -9999 -9999 
58012 1992 12 1 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 656 44 -9999 -9999 -9999 -9999 -9999 -9999 
58012 1992 12 2 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 659 30 -9999 -9999 -9999 -9999 -9999 -9999 
58012 1992 12 3 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 668 18 -9999 -9999 -9999 -9999 -9999 -9999 
58012 1993 1 1 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 685 25 -9999 -9999 -9999 -9999 -9999 -9999 
58012 1993 1 2 冬小麦 停止生长 01月18日 普遍期 推迟26天 15 2 726 687 16 -9999 -9999 -9999 -9999 -9999 -9999 
58012 1993 1 3 冬小麦 停止生长 01月18日 普遍期 推迟26天 15 2 726 691 5 -9999 -9999 -9999 -9999 -9999 -9999 
58012 1993 2 1 冬小麦 返青 02月05日 普遍期 提前9天 15 2 725 734 -2 -9999 -9999 -9999 -9999 -9999 -9999 
58012 1993 2 2 冬小麦 返青 02月05日 普遍期 提前9天 15 2 725 787 51 -9999 -9999 -9999 -9999 -9999 -9999 
58012 1993 2 3 冬小麦 返青 02月05日 普遍期 提前9天 15 2 725 808 45 -9999 -9999 -9999 -9999 -9999 -9999 
58012 1993 3 1 冬小麦 返青 02月05日 普遍期 提前9天 15 2 725 872 59 -9999 -9999 -9999 -9999 -9999 -9999 
58012 1993 3 2 冬小麦 拔节 03月19日 开始期 提前4天 -9999 -9999 -9999 947 53 -9999 -9999 -9999 -9999 -9999 -9999 
58012 1993 3 3 冬小麦 拔节 03月25日 普遍期 提前1天 11 2 743 1063 84 -9999 -9999 -9999 -9999 -9999 -9999 
58012 1993 4 1 冬小麦 拔节 03月25日 普遍期 提前1天 11 2 743 1171 61 -9999 -9999 -9999 -9999 -9999 -9999 
58012 1993 4 1 棉花 播种 04月05日 普遍期 提前1天 -9999 -9999 -9999 49 0 -9999 -9999 -9999 -9999 -9999 -9999 
58012 1993 4 1 棉花 未进 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 0 79 99 99 -9999 -9999 
58012 1993 4 2 冬小麦 拔节 03月25日 普遍期 提前1天 11 2 743 1318 64 -9999 -9999 -9999 -9999 -9999 -9999 
58012 1993 4 2 棉花 出苗 04月15日 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 
58012 1993 4 2 棉花 未进 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 0 90 99 96 -9999 -9999 
58012 1993 4 3 冬小麦 抽穗 04月25日 普遍期 提前1天 75 2 -9999 1505 89 -9999 -9999 -9999 -9999 -9999 -9999 
58012 1993 4 3 棉花 未进 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 0 88 99 99 -9999 -9999 
58012 1993 5 1 冬小麦 抽穗 04月25日 普遍期 提前1天 75 2 -9999 1681 88 0 90 -9999 -9999 -9999 -9999 
58012 1993 5 1 棉花 第三真叶 05月09日 普遍期 提前9天 14 2 -9999 559 21 -9999 -9999 -9999 -9999 -9999 -9999 
58012 1993 5 1 棉花 未进 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 0 90 99 99 -9999 -9999 
58012 1993 5 2 冬小麦 乳熟 05月18日 普遍期 提前4天 94 2 0 1867 71 -9999 -9999 -9999 -9999 -9999 -9999 
58012 1993 5 2 棉花 第五真叶 05月19日 开始期 -9999 -9999 -9999 -9999 744 11 -9999 -9999 -9999 -9999 -9999 -9999 
58012 1993 5 2 棉花 未进 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 0 97 99 99 -9999 -9999 
58012 1993 5 3 冬小麦 乳熟 05月18日 普遍期 提前4天 94 2 0 2104 69 -9999 -9999 -9999 -9999 -9999 -9999 
