V01000 V04001 V04002 V04202 C56001 C56002 C56003 C56004 C56005_400 V56006 V56007 V56008 V56019 V56020 V56021 V56208_400_010 V56208_400_020 V56208_400_050 V56208_400_070 V56208_400_100
57598 1998 5 1 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 1822 108 -9999 -9999 -9999 -9999 -9999 -9999 
57598 1998 5 1 夏玉米 出苗 05月08日 普遍期 提前10天 -9999 -9999 -9999 229 -125 0 70 81 82 -9999 -9999 
57696 1995 2 2 油菜 抽薹 02月14日 开始期 推迟26天 -9999 -9999 -9999 2032 816 -9999 -9999 -9999 -9999 -9999 -9999 
57696 1995 4 3 花生 播种 04月22日 普遍期 -9999 -9999 -9999 -9999 131 -9999 -9999 -9999 -9999 -9999 -9999 -9999 
57696 1995 4 3 油菜 成熟 04月30日 普遍期 推迟2天 -9999 -9999 -9999 2953 895 -9999 -9999 -9999 -9999 -9999 -9999 
57696 1995 4 3 早稻 未进 -9999 普遍期 提前8天 -9999 -9999 -9999 610 67 -9999 -9999 -9999 -9999 -9999 -9999 
57696 1995 5 1 春玉米 未进 -9999 -9999 -9999 -9999 -9999 -9999 1059 202 -9999 -9999 -9999 -9999 -9999 -9999 
57696 1995 5 1 花生 第三真叶 05月06日 普遍期 -9999 2 1 1890 338 -9999 -9999 -9999 -9999 -9999 -9999 -9999 
57696 1995 5 1 早稻 返青 05月08日 普遍期 推迟4天 26 1 101 818 79 -9999 -9999 -9999 -9999 -9999 -9999 
57696 1995 5 2 春玉米 拔节 05月16日 普遍期 提前2天 117 1 -9999 1280 177 -9999 -9999 -9999 -9999 -9999 -9999 
57696 1995 5 2 花生 未进 -9999 -9999 -9999 -9999 -9999 -9999 559 -9999 -9999 -9999 -9999 -9999 -9999 -9999 
57696 1995 5 2 早稻 分蘖 05月18日 普遍期 提前1天 -9999 -9999 -9999 1039 77 -9999 -9999 -9999 -9999 -9999 -9999 
57696 1995 5 3 春玉米 抽雄 05月24日 普遍期 提前6天 -9999 -9999 -9999 1541 176 -9999 -9999 -9999 -9999 -9999 -9999 
57696 1995 5 3 花生 开花 05月30日 普遍期 -9999 -9999 -9999 -9999 820 -9999 -9999 -9999 -9999 -9999 -9999 -9999 
57696 1995 5 3 早稻 分蘖 05月18日 普遍期 提前1天 -9999 -9999 -9999 1300 81 -9999 -9999 -9999 -9999 -9999 -9999 
57696 1995 6 1 春玉米 未进 -9999 -9999 -9999 -9999 -9999 -9999 1779 157 -9999 -9999 -9999 -9999 -9999 -9999 
57696 1995 6 1 花生 开花 05月30日 普遍期 -9999 -9999 -9999 -9999 1058 -9999 -9999 -9999 -9999 -9999 -9999 -9999 
57696 1995 6 1 早稻 孕穗 06月08日 普遍期 提前12天 -9999 -9999 -9999 1538 75 -9999 -9999 -9999 -9999 -9999 -9999 
57696 1995 6 2 春玉米 乳熟 06月12日 普遍期 提前4天 185 1 359 2019 161 -9999 -9999 -9999 -9999 -9999 -9999 
