V01000 V04001 V04002 V04202 C56001 C56002 C56003 C56004 C56005_400 V56006 V56007 V56008 V56019 V56020 V56021 V56208_400_010 V56208_400_020 V56208_400_050 V56208_400_070 V56208_400_100
53898 1996 11 2 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 485 8 0 92 99 86 -9999 -9999 
53898 1997 6 2 夏玉米 未进 -9999 -9999 -9999 -9999 -9999 -9999 430 -3 0 -9999 -9999 -9999 -9999 -9999 
53898 2004 4 1 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 1134 276 3 59 62 66 -9999 -9999 
53898 2007 1 1 白地 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 0 84 94 99 -9999 90 
53898 2007 1 2 白地 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 0 85 94 99 -9999 93 
53898 2007 1 3 白地 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 0 86 99 94 -9999 99 
53898 2007 2 1 白地 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 0 87 95 98 -9999 93 
53898 2007 2 2 白地 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 0 79 97 90 -9999 93 
53898 2007 2 3 白地 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 0 84 99 98 -9999 99 
53898 2007 3 1 白地 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 0 97 99 99 -9999 98 
53898 2007 3 2 白地 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 0 93 99 99 -9999 91 
53898 2007 3 3 白地 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 0 86 99 99 -9999 99 
53898 2007 4 1 白地 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 0 79 88 98 -9999 99 
53898 2007 4 2 白地 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 0 75 91 96 -9999 99 
53898 2007 4 3 白地 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 0 66 88 97 -9999 93 
53898 2007 5 1 白地 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 0 47 87 96 -9999 99 
53898 2007 5 2 白地 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 4 51 86 92 -9999 99 
53898 2007 5 3 白地 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 0 74 88 88 -9999 88 
53898 2007 6 1 白地 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 0 76 92 93 -9999 97 
53898 2007 6 2 白地 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 0 74 96 92 -9999 99 
53898 2007 6 3 白地 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 0 58 77 85 -9999 97 
53898 2007 7 1 白地 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 0 70 86 91 -9999 95 
53898 2007 7 2 白地 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 0 89 86 82 -9999 95 
