V01000 V04001 V04002 V04202 C56001 C56002 C56003 C56004 C56005_400 V56006 V56007 V56008 V56019 V56020 V56021 V56208_400_010 V56208_400_020 V56208_400_050 V56208_400_070 V56208_400_100
58448 2002 9 1 一季稻 未进 -9999 -9999 -9999 -9999 -9999 -9999 3066 108 -9999 -9999 -9999 -9999 -9999 -9999 
58448 2002 9 2 一季稻 乳熟 9月12日 普遍期 提前1天 115 1 117 3294 105 -9999 -9999 -9999 -9999 -9999 -9999 
58448 2002 9 3 一季稻 未进 -9999 -9999 -9999 -9999 -9999 -9999 3493 94 -9999 -9999 -9999 -9999 -9999 -9999 
58448 2002 10 1 一季稻 未进 -9999 -9999 -9999 -9999 -9999 -9999 3694 119 -9999 -9999 -9999 -9999 -9999 -9999 
58448 2002 10 2 一季稻 未进 -9999 -9999 -9999 -9999 -9999 -9999 3900 -9999 -9999 -9999 -9999 -9999 -9999 -9999 
58448 2002 10 2 油菜 播种 10月18日 普遍期 推迟9天 -9999 -9999 -9999 33 -180 -9999 -9999 -9999 -9999 -9999 -9999 
58448 2002 10 3 一季稻 成熟 10月24日 普遍期 推迟17天 -9999 -9999 -9999 3950 -9999 -9999 -9999 -9999 -9999 -9999 -9999 
58448 2002 10 3 油菜 出苗 10月26日 普遍期 推迟4天 -9999 -9999 -9999 180 -222 -9999 -9999 -9999 -9999 -9999 -9999 
58448 2002 11 1 油菜 未进 -9999 -9999 -9999 -9999 -9999 -9999 306 -230 -9999 -9999 -9999 -9999 -9999 -9999 
58448 2002 11 2 油菜 未进 -9999 -9999 -9999 -9999 -9999 -9999 430 -204 -9999 -9999 -9999 -9999 -9999 -9999 
58448 2002 11 3 油菜 第五真叶 11月30日 普遍期 推迟6天 -9999 -9999 -9999 531 -199 -9999 -9999 -9999 -9999 -9999 -9999 
58448 2002 12 1 油菜 未进 -9999 -9999 -9999 -9999 -9999 -9999 615 -203 -9999 -9999 -9999 -9999 -9999 -9999 
58448 2002 12 2 油菜 未进 -9999 -9999 -9999 -9999 -9999 -9999 685 -200 -9999 -9999 -9999 -9999 -9999 -9999 
58448 2002 12 3 油菜 未进 -9999 -9999 -9999 -9999 -9999 -9999 720 -234 -9999 -9999 -9999 -9999 -9999 -9999 
58448 2003 1 1 油菜 未进 -999 -999 -999 -999 -999 -999 731 -294 -999 -999 -999 -999 -999 -999 
58448 2003 1 2 油菜 未进 -999 -999 -999 -999 -999 -999 795 -269 -999 -999 -999 -999 -999 -999 
58448 2003 1 3 油菜 未进 -999 -999 -999 -999 -999 -999 838 -257 -999 -999 -999 -999 -999 -999 
58448 2003 2 1 油菜 未进 -9999 -9999 -9999 -9999 -9999 -9999 901 -226 -9999 -9999 -9999 -9999 -9999 -9999 
58448 2003 2 2 油菜 现蕾 2月20日 开始期 推迟17天 -9999 -9999 -9999 954 -238 -9999 -9999 -9999 -9999 -9999 -9999 
58448 2003 2 3 油菜 现蕾 2月24日 普遍期 推迟15天 -9999 -9999 -9999 1032 -212 -9999 -9999 -9999 -9999 -9999 -9999 
58448 2003 3 1 油菜 抽薹 3月6日 普遍期 推迟12天 57 1 -9999 1100 -231 -9999 -9999 -9999 -9999 -9999 -9999 
58448 2003 3 2 油菜 开花 3月18日 普遍期 推迟11天 -9999 -9999 -9999 1179 -256 -9999 -9999 -9999 -9999 -9999 -9999 
58448 2003 3 3 油菜 未进 -9999 -9999 -9999 -9999 -9999 -9999 1343 -247 -9999 -9999 -9999 -9999 -9999 -9999 
58448 2003 4 1 油菜 未进 -9999 -9999 -9999 -9999 -9999 -9999 1482 -249 -9999 -9999 -9999 -9999 -9999 -9999 
58448 2003 4 2 油菜 未进 -9999 -9999 -9999 -9999 -9999 -9999 1644 -253 -9999 -9999 -9999 -9999 -9999 -9999 
58448 2003 4 3 油菜 未进 -9999 -9999 -9999 -9999 -9999 -9999 1815 -254 -9999 -9999 -9999 -9999 -9999 -9999 
58448 2003 5 1 油菜 未进 -9999 -9999 -9999 -9999 -9999 -9999 2017 -154 -9999 -9999 -9999 -9999 -9999 -9999 
58448 2003 5 2 油菜 成熟 5月16日 普遍期 推迟11天 -9999 -9999 -9999 2171 -9999 -9999 -9999 -9999 -9999 -9999 -9999 
58448 2003 5 2 一季稻 播种 5月17日 普遍期 提前2天 -9999 -9999 -9999 66 21 -9999 -9999 -9999 -9999 -9999 -9999 
58448 2003 5 3 一季稻 出苗 5月22日 普遍期 提前1天 -9999 -9999 -9999 297 27 -9999 -9999 -9999 -9999 -9999 -9999 
58448 2003 6 1 一季稻 未进 -9999 -9999 -9999 -9999 -9999 -9999 535 36 -9999 -9999 -9999 -9999 -9999 -9999 
58448 2003 6 2 一季稻 未进 -9999 -9999 -9999 -9999 -9999 -9999 770 37 -9999 -9999 -9999 -9999 -9999 -9999 
58448 2003 6 3 一季稻 移栽 6月22日 普遍期 推迟1天 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 
58448 2003 6 3 一季稻 返青 6月26日 普遍期 推迟2天 44 1 41 1028 42 -9999 -9999 -9999 -9999 -9999 -9999 
58448 2003 7 1 一季稻 分蘖 7月4日 普遍期 提前0天 -9999 -9999 -9999 1316 64 -9999 -9999 -9999 -9999 -9999 -9999 
58448 2003 7 2 一季稻 未进 -9999 -9999 -9999 -9999 -9999 -9999 1617 81 -9999 -9999 -9999 -9999 -9999 -9999 
58448 2003 7 3 一季稻 未进 -9999 -9999 -9999 -9999 -9999 -9999 1963 107 -9999 -9999 -9999 -9999 -9999 -9999 
58448 2003 8 1 一季稻 未进 -9999 -9999 -9999 -9999 -9999 -9999 2260 120 -9999 -9999 -9999 -9999 -9999 -9999 
58448 2003 8 2 一季稻 孕穗 8月20日 普遍期 推迟2天 -9999 -9999 -9999 2515 98 -9999 -9999 -9999 -9999 -9999 -9999 
58448 2003 8 3 一季稻 抽穗 8月29日 普遍期 推迟3天 -9999 -9999 110 2835 133 -9999 -9999 -9999 -9999 -9999 -9999 
58448 2003 9 1 一季稻 未进 -9999 -9999 -9999 -9999 -9999 -9999 3109 150 -9999 -9999 -9999 -9999 -9999 -9999 
58448 2003 9 2 一季稻 乳熟 9月15日 普遍期 推迟2天 104 1 114 3357 167 -9999 -9999 -9999 -9999 -9999 -9999 
58448 2003 9 3 一季稻 未进 -9999 -9999 -9999 -9999 -9999 -9999 3575 176 -9999 -9999 -9999 -9999 -9999 -9999 
58448 2003 10 1 一季稻 未进 -9999 -9999 -9999 -9999 -9999 -9999 3771 176 -9999 -9999 -9999 -9999 -9999 -9999 
58448 2003 10 2 一季稻 未进 -9999 -9999 -9999 -9999 -9999 -9999 3933 153 -9999 -9999 -9999 -9999 -9999 -9999 
58448 2003 10 3 一季稻 成熟 10月24日 普遍期 推迟14天 -9999 -9999 -9999 3996 146 -9999 -9999 -9999 -9999 -9999 -9999 
58448 2003 11 1 油菜 播种 11月1日 普遍期 推迟19天 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 
58448 2003 11 1 油菜 出苗 11月10日 普遍期 推迟21天 -9999 -9999 -9999 141 -352 -9999 -9999 -9999 -9999 -9999 -9999 
58448 2003 11 2 油菜 未进 -9999 -9999 -9999 -9999 -9999 -9999 256 -340 -9999 -9999 -9999 -9999 -9999 -9999 
58448 2003 11 3 油菜 未进 -9999 -9999 -9999 -9999 -9999 -9999 348 -319 -9999 -9999 -9999 -9999 -9999 -9999 
58448 2003 12 1 油菜 未进 -9999 -9999 -9999 -9999 -9999 -9999 417 -377 -9999 -9999 -9999 -9999 -9999 -9999 
58448 2003 12 2 油菜 第五真叶 12月18日 开始期 推迟31天 -9999 -9999 -9999 450 -405 -9999 -9999 -9999 -9999 -9999 -9999 
58448 2003 12 3 油菜 未进 -9999 -9999 -9999 -9999 -9999 -9999 523 -382 -9999 -9999 -9999 -9999 -9999 -9999 
58448 2004 1 1 油菜 未进 -9999 -9999 -9999 -9999 -9999 -9999 586 -370 -9999 -9999 -9999 -9999 -9999 -9999 
58448 2004 1 2 油菜 未进 -9999 -9999 -9999 -9999 -9999 -9999 622 -404 -9999 -9999 -9999 -9999 -9999 -9999 
58448 2004 1 3 油菜 未进 -9999 -9999 -9999 -9999 -9999 -9999 644 -423 -9999 -9999 -9999 -9999 -9999 -9999 
58448 2004 2 1 油菜 未进 -9999 -9999 -9999 -9999 -9999 -9999 692 -439 -9999 -9999 -9999 -9999 -9999 -9999 
