V01000 V04001 V04002 V04202 C56001 C56002 C56003 C56004 C56005_400 V56006 V56007 V56008 V56019 V56020 V56021 V56208_400_010 V56208_400_020 V56208_400_050 V56208_400_070 V56208_400_100
57249 2002 9 1 一季稻 乳熟 9月3日 普遍期 推迟5天 99 2 206 3304 -83 0 62 76 87 -9999 -9999 
57249 2002 9 2 一季稻 成熟 9月20日 普遍期 推迟5天 -9999 -9999 -9999 3504 20 0 75 84 85 -9999 -9999 
57249 2003 4 2 一季稻 播种 4月13日 普遍期 推迟5天 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 
57249 2003 4 2 一季稻 出苗 4月17日 普遍期 推迟6天 -9999 -9999 -9999 110 -61 0 99 99 99 -9999 -9999 
57249 2003 4 3 一季稻 未进 -9999 -9999 -9999 -9999 -9999 -9999 263 -75 0 95 99 99 -9999 -9999 
57249 2003 5 1 一季稻 未进 -9999 -9999 -9999 -9999 -9999 -9999 444 -74 0 99 99 99 -9999 -9999 
57249 2003 5 2 一季稻 未进 -9999 -9999 -9999 -9999 -9999 -9999 630 -77 0 99 99 99 -9999 -9999 
57249 2003 5 3 一季稻 未进 -9999 -9999 -9999 -9999 -9999 -9999 849 -86 0 99 99 93 -9999 -9999 
57249 2003 6 1 一季稻 移栽 6月8日 普遍期 推迟4天 46 1 435 1079 -80 0 80 87 93 -9999 -9999 
57249 2003 6 2 一季稻 返青 6月15日 普遍期 推迟6天 -9999 -9999 46 1306 -92 0 96 93 97 -9999 -9999 
57249 2003 6 3 一季稻 分蘖 6月28日 普遍期 推迟7天 -9999 -9999 -9999 1544 -94 0 82 99 88 -9999 -9999 
57249 2003 7 1 一季稻 未进 -9999 -9999 -9999 -9999 -9999 -9999 1774 -113 0 99 99 98 -9999 -9999 
57249 2003 7 2 一季稻 未进 -9999 -9999 -9999 -9999 -9999 -9999 2012 -133 0 97 99 99 -9999 -9999 
57249 2003 7 3 一季稻 孕穗 7月30日 普遍期 提前1天 -9999 -9999 -9999 2314 -119 0 87 91 92 -9999 -9999 
57249 2003 8 2 一季稻 未进 -9999 -9999 -9999 -9999 -9999 -9999 2801 -132 0 99 99 99 -9999 -9999 
57249 2003 8 3 一季稻 乳熟 8月28日 普遍期 提前0天 98 1 208 3077 -114 0 98 98 93 -9999 -9999 
57249 2003 9 1 一季稻 未进 -9999 -9999 -9999 -9999 -9999 -9999 3271 -145 0 99 99 99 -9999 -9999 
57249 2003 9 2 一季稻 未进 -9999 -9999 -9999 -9999 -9999 -9999 3497 -115 0 80 86 93 -9999 -9999 
57249 2003 9 3 一季稻 成熟 9月24日 普遍期 推迟9天 -9999 -9999 -9999 3579 -33 0 86 94 98 -9999 -9999 
57249 2004 4 1 一季稻 播种 4月6日 普遍期 提前2天 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 
57249 2004 4 1 一季稻 出苗 4月10日 普遍期 提前1天 -9999 -9999 -9999 52 29 0 99 99 99 -9999 -9999 
57249 2004 4 2 一季稻 未进 -9999 -9999 -9999 -9999 -9999 -9999 225 54 0 85 89 97 -9999 -9999 
57249 2004 4 3 一季稻 未进 -9999 -9999 -9999 -9999 -9999 -9999 418 80 0 72 84 94 -9999 -9999 
57249 2004 5 1 一季稻 未进 -9999 -9999 -9999 -9999 -9999 -9999 586 68 0 75 78 84 -9999 -9999 
57249 2004 5 2 一季稻 未进 -9999 -9999 -9999 -9999 -9999 -9999 791 84 0 61 71 81 -9999 -9999 
57249 2004 5 3 一季稻 移栽 5月23日 普遍期 提前12天 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 
