V01000 V04001 V04002 V04202 C56001 C56002 C56003 C56004 C56005_400 V56006 V56007 V56008 V56019 V56020 V56021 V56208_400_010 V56208_400_020 V56208_400_050 V56208_400_070 V56208_400_100
57554 1992 4 2 一季稻 播种 04月20日 普遍期 推迟2天 -9999 -9999 -9999 0 -35 -9999 -9999 -9999 -9999 -9999 -9999 
57554 1992 4 3 一季稻 出苗 04月26日 普遍期 推迟2天 -9999 -9999 -9999 195 -24 -9999 -9999 -9999 -9999 -9999 -9999 
57554 1992 5 1 一季稻 出苗 04月26日 普遍期 推迟2天 -9999 -9999 -9999 405 -3 -9999 -9999 -9999 -9999 -9999 -9999 
57554 1992 5 3 一季稻 出苗 04月26日 普遍期 推迟2天 -9999 -9999 -9999 835 -20 -9999 -9999 -9999 -9999 -9999 -9999 
57554 1992 6 1 一季稻 返青 06月09日 普遍期 正常 38 2 57 1093 0 -9999 -9999 -9999 -9999 -9999 -9999 
57554 1992 7 3 一季稻 孕穗 07月28日 普遍期 推迟7天 43 2 241 2368 -68 -9999 -9999 -9999 -9999 -9999 -9999 
57554 1992 8 1 一季稻 抽穗 08月05日 普遍期 推迟8天 116 2 -9999 2667 -47 -9999 -9999 -9999 -9999 -9999 -9999 
57554 1992 8 2 一季稻 乳熟 08月19日 普遍期 推迟10天 118 2 234 2942 -37 -9999 -9999 -9999 -9999 -9999 -9999 
57554 1992 8 3 一季稻 乳熟 08月19日 普遍期 推迟10天 118 2 234 3224 59 -9999 -9999 -9999 -9999 -9999 -9999 
57554 1992 9 1 早稻 成熟 09月08日 普遍期 推迟12天 -9999 -9999 -9999 3481 316 -9999 -9999 -9999 -9999 -9999 -9999 
57554 1993 4 3 一季稻 出苗 04月28日 普遍期 推迟2天 -9999 -9999 -9999 160 18 -9999 -9999 -9999 -9999 -9999 -9999 
57554 1993 5 1 一季稻 出苗 04月28日 普遍期 推迟2天 -9999 -9999 -9999 341 13 -9999 -9999 -9999 -9999 -9999 -9999 
57554 1993 5 2 一季稻 出苗 04月28日 普遍期 推迟2天 -9999 -9999 -9999 515 -26 -9999 -9999 -9999 -9999 -9999 -9999 
57554 1993 5 3 一季稻 出苗 04月28日 普遍期 推迟2天 -9999 -9999 -9999 748 -37 -9999 -9999 -9999 -9999 -9999 -9999 
57554 1993 6 1 一季稻 返青 06月08日 普遍期 推迟3天 35 2 70 985 -37 -9999 -9999 -9999 -9999 -9999 -9999 
57554 1993 6 2 一季稻 分蘖 06月14日 普遍期 推迟3天 43 2 113 1238 -16 -9999 -9999 -9999 -9999 -9999 -9999 
57554 1993 6 3 一季稻 分蘖 06月14日 普遍期 推迟3天 43 2 113 1502 0 -9999 -9999 -9999 -9999 -9999 -9999 
57554 1993 7 1 一季稻 分蘖 06月14日 普遍期 推迟3天 43 2 113 1742 -17 -9999 -9999 -9999 -9999 -9999 -9999 
57554 1993 7 2 一季稻 分蘖 06月14日 普遍期 推迟3天 43 2 113 2022 -10 -9999 -9999 -9999 -9999 -9999 -9999 
57554 1993 7 3 一季稻 孕穗 07月30日 普遍期 推迟1天 41 2 202 2286 -40 -9999 -9999 -9999 -9999 -9999 -9999 
57554 1993 8 1 一季稻 抽穗 08月10日 开始期 -99 -9999 -9999 -9999 2554 -41 -9999 -9999 -9999 -9999 -9999 -9999 
57554 1993 8 2 一季稻 抽穗 08月13日 普遍期 推迟5天 99 2 -9999 2795 -67 -9999 -9999 -9999 -9999 -9999 -9999 
57554 1993 8 3 一季稻 乳熟 08月28日 普遍期 推迟8天 111 2 181 3055 -83 -9999 -9999 -9999 -9999 -9999 -9999 
57554 1993 9 1 一季稻 乳熟 08月28日 普遍期 推迟8天 111 2 181 3283 -71 -9999 -9999 -9999 -9999 -9999 -9999 
57554 1993 9 2 一季稻 成熟 09月20日 -9999 -9999 -9999 -9999 -9999 3517 -60 -9999 -9999 -9999 -9999 -9999 -9999 
57554 1994 4 2 一季稻 播种 04月19日 普遍期 提前3天 -9999 -9999 -9999 17 17 -9999 -9999 -9999 -9999 -9999 -9999 
57554 1994 4 3 一季稻 播种 04月19日 普遍期 提前3天 -9999 -9999 -9999 203 54 -9999 -9999 -9999 -9999 -9999 -9999 
57554 1994 5 1 一季稻 播种 04月19日 普遍期 提前3天 -9999 -9999 -9999 421 87 -9999 -9999 -9999 -9999 -9999 -9999 
57554 1994 5 2 一季稻 播种 04月19日 普遍期 提前3天 -9999 -9999 -9999 662 122 -9999 -9999 -9999 -9999 -9999 -9999 
57554 1994 5 3 一季稻 移栽 05月30日 普遍期 提前2天 43 2 918 921 139 -9999 -9999 -9999 -9999 -9999 -9999 
57554 1994 6 1 一季稻 返青 06月02日 普遍期 提前2天 -9999 -9999 111 1151 131 -9999 -9999 -9999 -9999 -9999 -9999 
57554 1994 6 2 一季稻 分蘖 06月13日 普遍期 推迟2天 -9999 -9999 -9999 1387 132 -9999 -9999 -9999 -9999 -9999 -9999 
57554 1994 6 3 一季稻 分蘖 06月13日 普遍期 推迟2天 -9999 -9999 -9999 1657 151 -9999 -9999 -9999 -9999 -9999 -9999 
57554 1994 7 1 一季稻 分蘖 06月13日 普遍期 推迟2天 -9999 -9999 -9999 1937 176 -9999 -9999 -9999 -9999 -9999 -9999 
57554 1994 7 2 一季稻 分蘖 06月13日 普遍期 推迟2天 -9999 -9999 -9999 2204 170 -9999 -9999 -9999 -9999 -9999 -9999 
57554 1994 7 3 一季稻 孕穗 07月25日 普遍期 提前5天 -9999 -9999 -9999 2512 190 -9999 -9999 -9999 -9999 -9999 -9999 
57554 1994 8 1 一季稻 抽穗 08月03日 普遍期 提前6天 -9999 -9999 236 2807 216 -9999 -9999 -9999 -9999 -9999 -9999 
57554 1994 8 2 一季稻 乳熟 08月13日 普遍期 提前8天 103 2 230 3097 243 -9999 -9999 -9999 -9999 -9999 -9999 
57554 1994 8 3 一季稻 成熟 08月30日 普遍期 提前11天 -9999 -9999 -9999 3401 274 -9999 -9999 -9999 -9999 -9999 -9999 
57554 1995 4 3 一季稻 未进 -9999 -9999 -9999 -9999 -9999 -9999 279 136 -9999 -9999 -9999 -9999 -9999 -9999 
57554 1995 5 1 一季稻 未进 -9999 -9999 -9999 -9999 -9999 -9999 480 140 -9999 -9999 -9999 -9999 -9999 -9999 
57554 1995 5 2 一季稻 未进 -9999 -9999 -9999 -9999 -9999 -9999 681 130 -9999 -9999 -9999 -9999 -9999 -9999 
57554 1995 5 3 一季稻 返青 05月29日 普遍期 提前7天 -9999 -9999 67 935 140 -9999 -9999 -9999 -9999 -9999 -9999 
57554 1995 6 1 一季稻 分蘖 06月09日 普遍期 提前2天 -9999 -9999 -9999 1177 146 -9999 -9999 -9999 -9999 -9999 -9999 
57554 1995 6 2 一季稻 分蘖 06月09日 普遍期 提前2天 -9999 -9999 -9999 1411 143 -9999 -9999 -9999 -9999 -9999 -9999 
57554 1995 6 3 一季稻 分蘖 06月09日 普遍期 提前2天 -9999 -9999 -9999 1648 128 -9999 -9999 -9999 -9999 -9999 -9999 
57554 1995 7 1 一季稻 分蘖 06月09日 普遍期 提前2天 -9999 -9999 -9999 1889 111 -9999 -9999 -9999 -9999 -9999 -9999 
57554 1995 7 2 一季稻 孕穗 07月19日 普遍期 提前10天 -9999 -9999 -9999 2173 122 -9999 -9999 -9999 -9999 -9999 -9999 
57554 1995 8 1 一季稻 乳熟 08月03日 普遍期 提前17天 97 2 190 2780 165 -9999 -9999 -9999 -9999 -9999 -9999 
57554 1995 8 2 一季稻 乳熟 08月03日 普遍期 提前17天 97 2 190 3042 159 -9999 -9999 -9999 -9999 -9999 -9999 
57554 1995 8 3 一季稻 成熟 08月25日 普遍期 提前15天 -9999 -9999 -9999 3175 16 -9999 -9999 -9999 -9999 -9999 -9999 
57554 1996 4 1 一季稻 播种 04月08日 普遍期 提前12天 -9999 -9999 -9999 23 23 -9999 -9999 -9999 -9999 -9999 -9999 
57554 1996 4 2 一季稻 出苗 04月13日 普遍期 提前12天 -9999 -9999 -9999 178 178 -9999 -9999 -9999 -9999 -9999 -9999 
57554 1996 4 3 一季稻 移栽 04月27日 普遍期 提前34天 7 2 6489 370 188 -9999 -9999 -9999 -9999 -9999 -9999 
57554 1996 5 1 一季稻 移栽 04月27日 普遍期 提前34天 7 2 6489 559 185 -9999 -9999 -9999 -9999 -9999 -9999 
57554 1996 5 2 一季稻 移栽 04月27日 普遍期 提前34天 7 2 6489 743 159 -9999 -9999 -9999 -9999 -9999 -9999 
57554 1996 5 3 一季稻 移栽 05月30日 普遍期 正常 39 2 1202 996 167 -9999 -9999 -9999 -9999 -9999 -9999 
57554 1996 6 1 一季稻 返青 06月03日 普遍期 提前1天 -9999 -9999 48 1207 141 -9999 -9999 -9999 -9999 -9999 -9999 
57554 1996 6 2 一季稻 分蘖 06月15日 普遍期 推迟4天 -9999 -9999 97 1467 165 -9999 -9999 -9999 -9999 -9999 -9999 
57554 1996 6 3 一季稻 分蘖 06月15日 普遍期 推迟4天 -9999 -9999 97 1709 156 -9999 -9999 -9999 -9999 -9999 -9999 
57554 1996 7 1 一季稻 分蘖 06月15日 普遍期 推迟4天 -9999 -9999 97 1964 155 -9999 -9999 -9999 -9999 -9999 -9999 
57554 1996 7 2 一季稻 分蘖 06月15日 普遍期 推迟4天 -9999 -9999 97 2212 129 -9999 -9999 -9999 -9999 -9999 -9999 
57554 1996 7 3 一季稻 孕穗 07月25日 普遍期 提前3天 -9999 -9999 -9999 2518 138 -9999 -9999 -9999 -9999 -9999 -9999 
57554 1996 8 1 一季稻 抽穗 08月02日 普遍期 提前4天 -9999 -9999 165 2792 139 -9999 -9999 -9999 -9999 -9999 -9999 
