V01000 V04001 V04002 V04202 C56001 C56002 C56003 C56004 C56005_400 V56006 V56007 V56008 V56019 V56020 V56021 V56208_400_010 V56208_400_020 V56208_400_050 V56208_400_070 V56208_400_100
52418 1992 3 2 春小麦 播种 03月19日 普遍期 推迟3天 -9999 -9999 -9999 4 -19 0 94 93 0 -9999 -9999 
52418 1992 3 3 春小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 76 -26 0 97 99 99 -9999 -9999 
52418 1992 4 1 春小麦 出苗 04月07日 普遍期 推迟2天 -9999 -9999 -9999 180 -22 0 98 99 99 -9999 -9999 
52418 1992 4 2 春小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 323 -3 0 93 93 86 -9999 -9999 
52418 1992 4 3 春小麦 分蘖 04月27日 普遍期 提前2天 16 2 -9999 486 20 0 64 73 78 -9999 -9999 
52418 1992 5 1 春小麦 拔节 05月08日 开始期 -9999 -9999 -9999 -9999 654 10 0 -9999 -9999 -9999 -9999 -9999 
52418 1992 5 2 春小麦 拔节 05月11日 普遍期 提前2天 28 2 514 809 -16 0 70 69 74 -9999 -9999 
52418 1992 5 3 春小麦 拔节 05月11日 普遍期 提前2天 28 2 514 1044 0 6 40 44 52 -9999 -9999 
52418 1992 6 1 春小麦 抽穗 06月03日 普遍期 提前1天 44 2 -9999 1272 19 0 -9999 -9999 -9999 -9999 -9999 
52418 1992 6 2 春小麦 抽穗 06月03日 普遍期 提前1天 44 2 -9999 1508 29 4 50 50 54 -9999 -9999 
52418 1992 9 2 棉花 裂铃 09月18日 普遍期 提前3天 -9999 -9999 1300 3168 -6 4 41 40 45 -9999 -9999 
52418 1992 9 3 棉花 裂铃 09月26日 -9999 -9999 -9999 -9999 -9999 3321 0 9 38 40 42 -9999 -9999 
52418 1992 10 1 棉花 停止生长 10月04日 普遍期 提前1天 -9999 -9999 -9999 3354 -86 10 36 38 38 -9999 -9999 
52418 1993 3 2 春小麦 播种 03月14日 普遍期 提前2天 -9999 -9999 -9999 30 7 0 92 98 0 -9999 -9999 
