V01000 V04001 V04002 V04202 C56001 C56002 C56003 C56004 C56005_400 V56006 V56007 V56008 V56019 V56020 V56021 V56208_400_010 V56208_400_020 V56208_400_050 V56208_400_070 V56208_400_100
58731 1995 4 3 早稻 返青 04月28日 普遍期 推迟4天 25 2 728 703 -41 -9999 -9999 -9999 -9999 -9999 -9999 
58731 1995 5 1 早稻 未进 -9999 -9999 -9999 -9999 -9999 -9999 903 -48 -9999 -9999 -9999 -9999 -9999 -9999 
58731 1995 5 2 早稻 未进 -9999 -9999 -9999 -9999 -9999 -9999 1115 -49 -9999 -9999 -9999 -9999 -9999 -9999 
58731 1995 5 3 早稻 未进 -9999 -9999 -9999 -9999 -9999 -9999 80 -20 -9999 -9999 -9999 -9999 -9999 -9999 
58731 1995 6 1 早稻 未进 -9999 -9999 -9999 -9999 -9999 -9999 1600 -45 -9999 -9999 -9999 -9999 -9999 -9999 
58731 1995 6 2 早稻 孕穗 06月18日 开始期 -99 -9999 -9999 -9999 1832 -59 -9999 -9999 -9999 -9999 -9999 -9999 
58731 1995 6 3 晚稻 出苗 06月21日 5 提前2天 75 2 2017 100 -54 -9999 -9999 -9999 -9999 -9999 -9999 
58731 1995 6 3 早稻 抽穗 06月30日 开始期 推迟8天 -9999 -9999 -9999 2076 -72 -9999 -9999 -9999 -9999 -9999 -9999 
58731 1995 7 1 晚稻 未进 -9999 -9999 -9999 -9999 -9999 -9999 477 -31 -9999 -9999 -9999 -9999 -9999 -9999 
58731 1995 7 1 早稻 乳熟 07月10日 普遍期 推迟8天 88 2 145 2337 -86 -9999 -9999 -9999 -9999 -9999 -9999 
58731 1995 7 2 晚稻 未进 -9999 -9999 -9999 -9999 -9999 -9999 758 -29 -9999 -9999 -9999 -9999 -9999 -9999 
58731 1995 7 2 早稻 乳熟 07月10日 普遍期 推迟8天 88 2 145 2619 -84 -9999 -9999 -9999 -9999 -9999 -9999 
58731 1995 8 1 晚稻 返青 08月06日 普遍期 推迟4天 72 2 28 1359 -9 -9999 -9999 -9999 -9999 -9999 -9999 
58731 1995 8 2 晚稻 分蘖 08月14日 普遍期 推迟6天 -9999 -9999 70 1617 -24 -9999 -9999 -9999 -9999 -9999 -9999 
58731 1995 8 3 晚稻 分蘖 08月14日 普遍期 推迟6天 -9999 -9999 70 1920 -16 -9999 -9999 -9999 -9999 -9999 -9999 
58731 1995 9 1 晚稻 孕穗 09月08日 普遍期 提前2天 -9999 -9999 122 2211 16 -9999 -9999 -9999 -9999 -9999 -9999 
58731 1995 9 2 晚稻 抽穗 09月17日 普遍期 提前6天 -9999 -9999 157 2440 6 -9999 -9999 -9999 -9999 -9999 -9999 
58731 1995 9 3 晚稻 乳熟 09月30日 普遍期 提前4天 8 -9999 134 2656 -1 -9999 -9999 -9999 -9999 -9999 -9999 
58731 1995 10 1 晚稻 乳熟 09月30日 普遍期 提前4天 8 -9999 134 2867 4 -9999 -9999 -9999 -9999 -9999 -9999 
58731 1995 10 2 晚稻 乳熟 09月30日 普遍期 提前4天 8 -9999 134 3078 27 -9999 -9999 -9999 -9999 -9999 -9999 
58731 1995 10 3 晚稻 成熟 10月27日 普遍期 提前5天 -9999 -9999 -9999 3286 51 -9999 -9999 -9999 -9999 -9999 -9999 
58731 1996 3 2 早稻 播种 03月15日 普遍期 推迟22天 89 -9999 1063 0 -12 -9999 -9999 -9999 -9999 -9999 -9999 
58731 1996 3 3 早稻 出苗 03月22日 普遍期 推迟22天 134 -9999 3508 2 -47 -9999 -9999 -9999 -9999 -9999 -9999 
58731 1996 4 1 早稻 未进 -9999 普遍期 推迟22天 123 -9999 3506 15 167 -9999 -9999 -9999 -9999 -9999 -9999 
58731 1996 4 2 早稻 播种 03月15日 普遍期 推迟22天 89 -9999 1063 352 -198 -9999 -9999 -9999 -9999 -9999 -9999 
58731 1996 4 3 早稻 播种 03月15日 普遍期 推迟22天 89 -9999 1063 549 -195 -9999 -9999 -9999 -9999 -9999 -9999 
58731 1996 5 1 早稻 返青 05月09日 普遍期 推迟11天 34 2 20 751 -201 -9999 -9999 -9999 -9999 -9999 -9999 
58731 1996 5 2 早稻 分蘖 05月16日 普遍期 推迟9天 -9999 -9999 -9999 967 -197 -9999 -9999 -9999 -9999 -9999 -9999 
58731 1996 5 3 早稻 分蘖 05月16日 普遍期 推迟9天 -9999 -9999 -9999 1212 -197 -9999 -9999 -9999 -9999 -9999 -9999 
58731 1996 6 1 早稻 分蘖 05月16日 普遍期 推迟9天 -9999 -9999 -9999 1471 -175 -9999 -9999 -9999 -9999 -9999 -9999 
58731 1996 6 2 早稻 分蘖 05月16日 普遍期 推迟9天 -9999 -9999 -9999 1725 -166 -9999 -9999 -9999 -9999 -9999 -9999 
58731 1996 6 3 早稻 孕穗 06月28日 普遍期 推迟15天 -9999 -9999 -9999 1986 -162 -9999 -9999 -9999 -9999 -9999 -9999 
58731 1996 7 1 晚稻 未进 -9999 -9999 -9999 -9999 -9999 -9999 435 -73 -9999 -9999 -9999 -9999 -9999 -9999 
58731 1996 7 1 早稻 抽穗 07月05日 普遍期 推迟12天 -9999 -9999 142 2257 -167 -9999 -9999 -9999 -9999 -9999 -9999 
58731 1996 7 2 晚稻 未进 -9999 -9999 -9999 -9999 -9999 -9999 706 -80 -9999 -9999 -9999 -9999 -9999 -9999 
58731 1996 7 2 早稻 乳熟 07月12日 普遍期 推迟10天 99 2 135 2528 -174 -9999 -9999 -9999 -9999 -9999 -9999 
58731 1996 7 3 晚稻 未进 -9999 -9999 -9999 -9999 -9999 -9999 1020 -72 -9999 -9999 -9999 -9999 -9999 -9999 
58731 1996 7 3 早稻 乳熟 07月12日 普遍期 推迟10天 99 2 135 2842 112 -9999 -9999 -9999 -9999 -9999 -9999 
58731 1996 8 1 晚稻 移栽 08月06日 普遍期 推迟6天 65 2 56 1312 -56 -9999 -9999 -9999 -9999 -9999 -9999 
58731 1996 8 1 早稻 成熟 08月02日 普遍期 推迟12天 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 
58731 1996 8 2 晚稻 分蘖 08月16日 普遍期 推迟8天 -9999 -9999 117 1582 -59 -9999 -9999 -9999 -9999 -9999 -9999 
58731 1996 8 3 晚稻 分蘖 08月16日 普遍期 推迟8天 -9999 -9999 117 1866 -70 -9999 -9999 -9999 -9999 -9999 -9999 
58731 1996 9 1 晚稻 孕穗 09月05日 普遍期 提前5天 -9999 -9999 -9999 2121 -74 -9999 -9999 -9999 -9999 -9999 -9999 
58731 1996 9 2 晚稻 抽穗 09月15日 普遍期 提前7天 -9999 -9999 164 2392 -42 -9999 -9999 -9999 -9999 -9999 -9999 
58731 1996 9 3 晚稻 乳熟 09月28日 普遍期 提前6天 79 2 170 2608 -50 -9999 -9999 -9999 -9999 -9999 -9999 
58731 1996 10 1 晚稻 乳熟 09月28日 普遍期 提前6天 79 2 170 2804 -59 -9999 -9999 -9999 -9999 -9999 -9999 
58731 1996 10 2 晚稻 乳熟 09月28日 普遍期 提前6天 79 2 170 2996 -55 -9999 -9999 -9999 -9999 -9999 -9999 
58731 1996 10 3 晚稻 成熟 10月30日 普遍期 提前1天 -9999 -9999 -9999 3213 -23 -9999 -9999 -9999 -9999 -9999 -9999 
58731 1997 3 2 晚稻 出苗 03月14日 普遍期 推迟28天 6 -9999 0 0 86 -9999 -9999 -9999 -9999 -9999 -9999 
58731 1997 3 2 早稻 出苗 03月17日 普遍期 提前1天 -9999 -9999 -9999 104 21 -9999 -9999 -9999 -9999 -9999 -9999 
58731 1997 3 3 晚稻 出苗 03月14日 普遍期 推迟28天 6 -9999 0 294 77 -9999 -9999 -9999 -9999 -9999 -9999 
58731 1997 4 1 晚稻 未进 -9999 -9999 -9999 -9999 -9999 -9999 452 78 -9999 -9999 -9999 -9999 -9999 -9999 
58731 1997 4 2 晚稻 未进 -9999 -9999 -9999 -9999 -9999 -9999 630 80 -9999 -9999 -9999 -9999 -9999 -9999 
58731 1997 4 3 晚稻 返青 04月26日 普遍期 推迟2天 39 2 34 822 78 -9999 -9999 -9999 -9999 -9999 -9999 
58731 1997 5 1 晚稻 分蘖 05月03日 普遍期 提前4天 -9999 -9999 103 1038 87 -9999 -9999 -9999 -9999 -9999 -9999 
58731 1997 5 2 晚稻 分蘖 05月03日 普遍期 提前4天 -9999 -9999 103 1272 108 -9999 -9999 -9999 -9999 -9999 -9999 
58731 1997 6 1 晚稻 分蘖 05月03日 普遍期 提前4天 -9999 -9999 103 1750 104 -9999 -9999 -9999 -9999 -9999 -9999 
58731 1997 6 2 晚稻 孕穗 06月16日 普遍期 推迟3天 -9999 -9999 -9999 1985 94 -9999 -9999 -9999 -9999 -9999 -9999 
58731 1997 6 3 晚稻 出苗 06月29日 普遍期 推迟5天 -9999 -9999 -9999 107 -125 -9999 -9999 -9999 -9999 -9999 -9999 
58731 1997 6 3 早稻 抽穗 06月26日 普遍期 推迟3天 -9999 -9999 180 2236 88 -9999 -9999 -9999 -9999 -9999 -9999 
58731 1997 7 1 晚稻 孕穗 06月16日 普遍期 推迟3天 -9999 -9999 -9999 60 -150 -9999 -9999 -9999 -9999 -9999 -9999 
58731 1997 7 1 早稻 乳熟 07月08日 普遍期 推迟6天 93 2 197 2487 63 -9999 -9999 -9999 -9999 -9999 -9999 
58731 1997 7 2 晚稻 孕穗 06月16日 普遍期 推迟3天 -9999 -9999 -9999 622 -164 -9999 -9999 -9999 -9999 -9999 -9999 
58731 1997 7 2 早稻 乳熟 07月08日 普遍期 推迟6天 93 2 197 2751 48 -9999 -9999 -9999 -9999 -9999 -9999 
58731 1997 7 3 晚稻 孕穗 06月16日 普遍期 推迟3天 -9999 -9999 -9999 913 -180 -9999 -9999 -9999 -9999 -9999 -9999 
58731 1997 7 3 早稻 成熟 07月30日 普遍期 推迟9天 -9999 -9999 -9999 3042 34 -9999 -9999 -9999 -9999 -9999 -9999 
58731 1997 8 1 晚稻 移栽 08月07日 普遍期 推迟10天 68 2 1367 1177 -192 -9999 -9999 -9999 -9999 -9999 -9999 
58731 1997 8 2 晚稻 分蘖 08月18日 普遍期 推迟10天 -9999 -9999 17 1432 -208 -9999 -9999 -9999 -9999 -9999 -9999 
58731 1997 8 3 晚稻 分蘖 08月18日 普遍期 推迟10天 -9999 -9999 17 1723 -213 -9999 -9999 -9999 -9999 -9999 -9999 
