V01000 V04001 V04002 V04202 C56001 C56002 C56003 C56004 C56005_400 V56006 V56007 V56008 V56019 V56020 V56021 V56208_400_010 V56208_400_020 V56208_400_050 V56208_400_070 V56208_400_100
56598 1991 9 3 夏玉米 成熟 09月28日 普遍期 推迟20天 -9999 -9999 -9999 2952 -64 0 84 86 98 -9999 -9999 
56598 1992 5 2 冬小麦 乳熟 05月16日 普遍期 推迟11天 108 2 2290 1751 -115 0 99 91 85 -9999 -9999 
56598 1992 5 2 夏玉米 播种 05月17日 -9999 -9999 -9999 -9999 -9999 32 -9999 -9999 -9999 -9999 -9999 -9999 -9999 
56598 1992 5 3 冬小麦 乳熟 05月16日 普遍期 推迟11天 108 2 2290 1934 -132 0 94 86 84 -9999 -9999 
56598 1992 5 3 夏玉米 未进 -9999 -9999 -9999 -9999 -9999 -9999 215 -9999 -9999 -9999 -9999 -9999 -9999 -9999 
56598 1992 6 1 冬小麦 成熟 06月06日 普遍期 推迟13天 -9999 -9999 -9999 2058 -127 0 96 91 78 -9999 -9999 
56598 1992 6 1 夏玉米 出苗 06月10日 -9999 -9999 -9999 -9999 -9999 123 -9999 -9999 -9999 -9999 -9999 -9999 -9999 
56598 1992 6 2 夏玉米 三叶 06月18日 -9999 -9999 12 2 -9999 340 -9999 0 79 81 97 -9999 -9999 
56598 1992 7 3 夏玉米 拔节 07月22日 -9999 -9999 53 2 -9999 1157 -9999 0 76 80 99 -9999 -9999 
56598 1992 8 1 夏玉米 未进 -9999 -9999 -9999 85 2 -9999 1386 -9999 0 49 63 93 -9999 -9999 
56598 1992 8 2 夏玉米 抽雄 08月18日 -9999 -9999 114 3 -9999 1613 -9999 0 49 60 92 -9999 -9999 
56598 1992 8 3 夏玉米 抽雄 08月18日 -9999 -9999 114 3 -9999 1818 -9999 0 81 81 96 -9999 -9999 
56598 1992 9 1 夏玉米 抽雄 08月18日 -9999 -9999 114 3 -9999 2019 -9999 0 68 78 99 -9999 -9999 
56598 1992 9 2 夏玉米 乳熟 09月20日 -9999 -9999 -9999 -9999 456 2204 -9999 0 78 75 95 -9999 -9999 
56598 1992 9 3 夏玉米 乳熟 09月30日 -9999 -9999 -9999 -9999 -9999 2386 -9999 0 74 74 98 -9999 -9999 
56598 1992 10 1 夏玉米 乳熟 10月10日 -9999 -9999 -9999 -9999 -9999 2511 -9999 0 90 88 99 -9999 -9999 
56598 1992 10 3 冬小麦 播种 10月29日 普遍期 推迟7天 -9999 -9999 -9999 27 -83 0 99 98 97 -9999 -9999 
56598 1992 11 1 冬小麦 出苗 11月08日 普遍期 推迟6天 -9999 -9999 -9999 129 -90 0 74 74 99 -9999 -9999 
56598 1992 11 2 冬小麦 播种 10月29日 普遍期 推迟7天 -9999 -9999 -9999 222 -101 0 68 77 99 -9999 -9999 
56598 1992 11 3 冬小麦 分蘖 11月30日 开始期 推迟4天 13 2 137 292 -112 0 64 77 99 -9999 -9999 
56598 1992 12 1 冬小麦 分蘖 12月04日 末期 提前6天 -9999 -9999 -9999 445 -28 0 68 73 99 -9999 -9999 
56598 1992 12 3 冬小麦 分蘖 12月04日 末期 提前6天 -9999 -9999 -9999 503 -72 0 45 57 82 -9999 -9999 
56598 1993 1 1 冬小麦 分蘖 12月04日 末期 提前6天 -9999 -9999 -9999 555 -63 0 61 63 95 -9999 -9999 
56598 1993 1 2 冬小麦 分蘖 12月04日 末期 提前6天 -9999 -9999 -9999 557 -98 0 58 59 93 -9999 -9999 
56598 1993 1 3 冬小麦 分蘖 12月04日 末期 提前6天 -9999 -9999 -9999 580 -114 0 59 66 97 -9999 -9999 
56598 1993 2 1 冬小麦 分蘖 12月04日 末期 提前6天 -9999 -9999 -9999 680 -54 0 55 58 85 -9999 -9999 
56598 1993 2 2 冬小麦 拔节 02月18日 普遍期 推迟5天 14 2 150 783 -17 0 54 -9999 -9999 -9999 -9999 
56598 1993 2 3 冬小麦 拔节 02月18日 普遍期 推迟5天 14 2 150 810 -24 -9999 -9999 -9999 -9999 -9999 -9999 
56598 1993 3 2 冬小麦 拔节 02月18日 普遍期 推迟5天 14 2 150 1026 14 0 51 66 93 -9999 -9999 
56598 1993 3 3 冬小麦 抽穗 03月28日 普遍期 提前8天 50 2 -9999 1167 38 0 55 62 92 -9999 -9999 
56598 1993 4 1 冬小麦 抽穗 03月28日 普遍期 提前8天 50 2 -9999 1288 38 0 55 60 83 -9999 -9999 
56598 1993 4 3 冬小麦 乳熟 04月28日 普遍期 推迟7天 78 2 165 1601 62 0 69 70 94 -9999 -9999 
56598 1993 5 1 冬小麦 乳熟 04月28日 普遍期 推迟7天 78 2 165 1767 63 0 74 71 93 -9999 -9999 
56598 1993 5 1 夏玉米 三叶 05月10日 普遍期 提前13天 12 2 -9999 270 217 -9999 -9999 -9999 -9999 -9999 -9999 
56598 1993 5 2 冬小麦 乳熟 04月28日 普遍期 推迟7天 78 2 165 1921 42 0 65 65 88 -9999 -9999 
56598 1993 5 2 夏玉米 三叶 05月12日 末期 -9999 -9999 -9999 -9999 425 195 -9999 -9999 -9999 -9999 -9999 -9999 
56598 1993 5 3 冬小麦 成熟 05月26日 普遍期 推迟2天 -9999 -9999 -9999 2028 39 0 67 69 82 -9999 -9999 
56598 1993 5 3 夏玉米 三叶 05月22日 末期 提前12天 -9999 -9999 -9999 617 182 -9999 -9999 -9999 -9999 -9999 -9999 
56598 1993 6 1 夏玉米 七叶 06月05日 普遍期 提前4天 22 2 2801 808 178 0 71 73 88 -9999 -9999 
56598 1993 6 2 夏玉米 七叶 06月05日 普遍期 提前4天 22 2 2801 1003 177 0 70 72 90 -9999 -9999 
56598 1993 6 3 夏玉米 拔节 06月29日 普遍期 提前5天 50 2 -9999 1212 177 0 66 62 80 -9999 -9999 
56598 1993 7 1 夏玉米 七叶 06月05日 普遍期 提前4天 22 2 2801 1408 161 0 70 86 98 -9999 -9999 
56598 1993 7 2 夏玉米 抽雄 07月19日 普遍期 提前7天 149 2 -9999 1636 170 0 76 84 91 -9999 -9999 
56598 1993 7 3 夏玉米 抽雄 07月25日 末期 提前4天 -9999 -9999 -9999 1866 168 0 76 74 91 -9999 -9999 
56598 1993 8 1 夏玉米 抽雄 07月25日 末期 提前4天 -9999 -9999 -9999 2082 183 0 62 59 82 -9999 -9999 
56598 1993 8 2 夏玉米 乳熟 08月17日 普遍期 提前4天 -9999 -9999 2529 2279 172 0 58 58 70 -9999 -9999 
56598 1993 8 3 夏玉米 抽雄 07月25日 末期 提前4天 -9999 -9999 -9999 2482 153 0 76 79 92 -9999 -9999 
56598 1993 9 1 夏玉米 抽雄 07月25日 末期 提前4天 -9999 -9999 -9999 2658 133 0 79 80 99 -9999 -9999 
56598 1993 9 2 夏玉米 成熟 09月18日 普遍期 提前5天 -9999 -9999 -9999 2801 106 0 89 89 99 -9999 -9999 
56598 1993 10 2 冬小麦 播种 10月20日 -9999 -9999 -9999 -9999 -9999 -9999 -9999 0 77 72 91 -9999 -9999 
56598 1993 10 3 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 109 -27 0 72 81 98 -9999 -9999 
56598 1993 11 2 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 359 16 0 70 80 97 -9999 -9999 
56598 1993 11 3 冬小麦 分蘖 11月29日 普遍期 提前6天 22 2 -9999 425 2 0 53 66 88 -9999 -9999 
56598 1993 12 1 冬小麦 分蘖 12月01日 末期 提前9天 -9999 -9999 -9999 499 7 0 66 69 93 -9999 -9999 
56598 1993 12 2 冬小麦 分蘖 12月01日 末期 提前9天 -9999 -9999 -9999 526 23 0 57 72 80 -9999 -9999 
56598 1994 1 1 冬小麦 分蘖 12月01日 末期 提前9天 -9999 -9999 -9999 640 81 0 55 62 81 -9999 -9999 
56598 1994 1 3 冬小麦 分蘖 12月01日 末期 提前9天 -9999 -9999 -9999 707 77 0 47 60 86 -9999 -9999 
56598 1994 2 2 冬小麦 拔节 02月15日 普遍期 提前7天 31 2 -9999 856 123 0 56 49 78 -9999 -9999 
56598 1994 3 3 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 1142 94 0 73 77 89 -9999 -9999 
56598 1994 4 1 冬小麦 抽穗 04月07日 普遍期 推迟3天 53 2 -9999 1312 142 0 71 77 99 -9999 -9999 
56598 1994 4 2 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 1450 143 0 62 71 93 -9999 -9999 
56598 1994 5 1 冬小麦 乳熟 05月08日 普遍期 推迟4天 70 2 2320 1782 155 0 63 67 93 -9999 -9999 
56598 1994 5 1 夏玉米 播种 05月01日 0 提前4天 -9999 -9999 -9999 145 26 -9999 -9999 -9999 -9999 -9999 -9999 
56598 1994 5 2 冬小麦 乳熟 05月08日 普遍期 推迟4天 70 2 2320 1982 181 0 57 65 90 -9999 -9999 
56598 1994 5 2 夏玉米 出苗 05月16日 普遍期 提前3天 -9999 -9999 -9999 345 101 -9999 -9999 -9999 -9999 -9999 -9999 
56598 1994 5 3 冬小麦 成熟 05月28日 普遍期 推迟3天 -9999 -9999 -9999 2118 171 0 70 71 89 -9999 -9999 
56598 1994 5 3 夏玉米 未进 -9999 -9999 -9999 -9999 -9999 -9999 538 89 -9999 -9999 -9999 -9999 -9999 -9999 
56598 1994 6 2 夏玉米 七叶 06月14日 普遍期 推迟5天 -9999 -9999 376 918 79 0 70 75 95 -9999 -9999 
56598 1994 6 3 夏玉米 未进 -9999 -9999 -9999 -9999 -9999 -9999 1129 81 0 73 80 96 -9999 -9999 
56598 1994 7 3 夏玉米 抽雄 07月29日 -9999 -9999 -9999 -9999 -9999 1790 88 0 74 76 99 -9999 -9999 
56598 1994 8 1 夏玉米 抽雄 08月03日 末期 推迟5天 -9999 -9999 -9999 2019 98 0 57 63 92 -9999 -9999 
56598 1994 8 3 夏玉米 乳熟 08月28日 普遍期 推迟6天 244 1 356 2450 102 0 81 77 97 -9999 -9999 
56598 1994 9 2 夏玉米 乳熟 08月28日 普遍期 推迟6天 244 1 356 2183 90 0 73 79 94 -9999 -9999 
56598 1994 9 3 夏玉米 乳熟 09月29日 末期 推迟4天 -9999 -9999 -9999 2927 105 82 -9999 -9999 -9999 -9999 -9999 
56598 1994 11 1 冬小麦 出苗 11月05日 普遍期 推迟2天 -9999 -9999 -9999 198 -1 0 70 76 99 -9999 -9999 
56598 1994 11 2 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 325 24 0 62 77 99 -9999 -9999 
56598 1994 11 3 冬小麦 分蘖 11月30日 开始期 推迟5天 -9999 -9999 62 452 70 0 73 82 98 -9999 -9999 
56598 1994 12 1 冬小麦 分蘖 12月10日 普遍期 推迟6天 -9999 -9999 -9999 546 96 0 70 77 97 -9999 -9999 
56598 1994 12 2 冬小麦 分蘖 12月10日 普遍期 推迟6天 -9999 -9999 -9999 585 79 0 67 74 93 -9999 -9999 
56598 1994 12 3 冬小麦 分蘖 12月10日 普遍期 推迟6天 -9999 -9999 -9999 650 87 0 66 79 99 -9999 -9999 
56598 1995 1 2 冬小麦 分蘖 12月10日 普遍期 推迟6天 -9999 -9999 -9999 720 76 0 68 81 98 -9999 -9999 
56598 1995 2 2 冬小麦 拔节 02月14日 开始期 推迟4天 -9999 -9999 -9999 821 8 0 70 73 92 -9999 -9999 
56598 1995 4 3 冬小麦 未进 -9999 普遍期 推迟8天 -9999 -9999 -9999 1495 -65 0 38 56 85 -9999 -9999 
56598 1995 5 1 冬小麦 乳熟 05月08日 普遍期 推迟4天 98 1 122 1295 -74 -9999 -9999 -9999 -9999 -9999 -9999 
56598 1995 5 1 夏玉米 播种 05月01日 普遍期 提前5天 -9999 -9999 -9999 140 -9 0 74 84 87 -9999 -9999 
56598 1995 5 2 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 1820 -76 -9999 -9999 -9999 -9999 -9999 -9999 
56598 1995 5 2 夏玉米 出苗 05月13日 普遍期 提前5天 -9999 -9999 -9999 307 -20 0 73 74 87 -9999 -9999 
56598 1995 5 3 夏玉米 未进 -9999 -9999 -9999 -9999 -9999 -9999 518 -12 0 54 67 73 -9999 -9999 
56598 1995 6 1 冬小麦 成熟 06月01日 普遍期 推迟6天 -9999 -9999 -9999 2046 2 -9999 -9999 -9999 -9999 -9999 -9999 
56598 1995 6 1 夏玉米 七叶 06月01日 开始期 提前5天 -9999 -9999 -9999 721 -3 0 76 -9999 -9999 -9999 -9999 
56598 1995 6 2 夏玉米 七叶 06月12日 普遍期 推迟3天 -9999 -9999 387 921 1 0 72 83 96 -9999 -9999 
56598 1995 6 3 夏玉米 未进 -9999 -9999 -9999 -9999 -9999 -9999 1132 39 0 56 67 95 -9999 -9999 
56598 1995 7 1 夏玉米 未进 -9999 -9999 -9999 -9999 -9999 -9999 1319 -20 0 88 90 99 -9999 -9999 
56598 1995 7 2 夏玉米 拔节 07月14日 普遍期 推迟11天 100 2 -9999 1543 -16 1 87 87 97 -9999 -9999 
56598 1995 8 1 夏玉米 抽雄 08月10日 末期 推迟4天 -9999 -9999 -9999 2008 23 0 51 59 86 -9999 -9999 
56598 1995 8 2 夏玉米 抽雄 08月10日 末期 推迟4天 -9999 -9999 -9999 2206 13 0 81 80 89 -9999 -9999 
56598 1995 8 3 夏玉米 乳熟 08月28日 普遍期 推迟7天 206 2 395 2433 19 0 77 89 99 -9999 -9999 
56598 1995 9 1 夏玉米 乳熟 08月28日 普遍期 推迟7天 206 2 395 2653 43 0 77 83 93 -9999 -9999 
56598 1995 9 2 夏玉米 乳熟 08月28日 普遍期 推迟7天 206 2 395 2808 28 0 82 84 99 -9999 -9999 
56598 1995 9 3 夏玉米 成熟 09月30日 普遍期 推迟6天 -9999 -9999 -9999 2969 28 0 86 89 99 -9999 -9999 
56598 1995 10 2 冬小麦 播种 10月17日 普遍期 推迟4天 -9999 -9999 -9999 48 212 0 76 98 96 -9999 -9999 
56598 1995 10 3 冬小麦 出苗 10月24日 普遍期 提前11天 -9999 -9999 -9999 183 18 0 71 74 94 -9999 -9999 
56598 1995 11 1 冬小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 290 23 0 73 76 94 -9999 -9999 
56598 1995 11 2 冬小麦 分蘖 11月16日 普遍期 提前11天 -9999 -9999 -9999 373 48 0 69 80 93 -9999 -9999 
56598 1995 12 1 冬小麦 分蘖 11月16日 普遍期 提前11天 -9999 -9999 -9999 479 45 0 61 78 92 -9999 -9999 
56598 1995 12 2 冬小麦 分蘖 11月16日 普遍期 提前11天 -9999 -9999 -9999 523 56 0 57 62 89 -9999 -9999 
56598 1995 12 3 冬小麦 分蘖 11月16日 普遍期 提前11天 -9999 -9999 -9999 560 82 0 65 78 81 -9999 -9999 
56598 1996 1 1 冬小麦 播种 -9999 -9999 -9999 -9999 -9999 -9999 616 -76 0 62 69 98 -9999 -9999 
56598 1996 1 2 冬小麦 播种 -9999 -9999 -9999 -9999 -9999 -9999 628 -99 0 57 68 91 -9999 -9999 
56598 1996 1 3 冬小麦 播种 -9999 -9999 -9999 -9999 -9999 -9999 665 -103 0 63 68 84 -9999 -9999 
56598 1996 2 1 冬小麦 播种 -9999 -9999 -9999 -9999 -9999 -9999 699 -118 0 59 67 81 -9999 -9999 
56598 1996 2 2 冬小麦 拔节 02月20日 普遍期 提前9天 36 2 1746 782 -105 0 56 63 79 -9999 -9999 
56598 1996 2 3 冬小麦 拔节 02月28日 末期 提前4天 -9999 -9999 -9999 793 -131 0 56 84 94 -9999 -9999 
56598 1996 3 1 冬小麦 拔节 02月28日 末期 提前4天 -9999 -9999 -9999 988 -77 0 57 51 76 -9999 -9999 
56598 1996 3 2 冬小麦 拔节 02月28日 末期 提前4天 -9999 -9999 -9999 1065 -34 0 51 56 82 -9999 -9999 
56598 1996 4 2 冬小麦 抽穗 04月12日 普遍期 推迟7天 -9999 -9999 1662 1354 -116 60 55 61 83 -9999 -9999 
56598 1996 4 3 冬小麦 抽穗 04月12日 普遍期 推迟7天 -9999 -9999 1662 1505 -123 0 68 70 74 -9999 -9999 
56598 1996 5 1 冬小麦 抽穗 04月12日 普遍期 推迟7天 -9999 -9999 1662 1663 -130 -9999 -9999 -9999 -9999 -9999 -9999 
56598 1996 5 1 夏玉米 播种 05月01日 普遍期 提前5天 -9999 -9999 -9999 140 -92 0 68 56 78 -9999 -9999 
