V01000 V04001 V04002 V04202 C56001 C56002 C56003 C56004 C56005_400 V56006 V56007 V56008 V56019 V56020 V56021 V56208_400_010 V56208_400_020 V56208_400_050 V56208_400_070 V56208_400_100
54236 2002 9 1 春玉米 未进 -9999 -9999 -9999 -9999 -9999 -9999 3042 215 3 37 48 67 -9999 -9999 
54236 2002 9 2 春玉米 成熟 9月18日 普遍期 推迟3天 -9999 2 -9999 3184 221 6 28 44 63 -9999 -9999 
54236 2002 9 3 高粱 成熟 9月28日 普遍期 推迟7天 -9999 2 -9999 3353 240 12 18 31 47 -9999 -9999 
54236 2002 10 1 白地 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 15 15 26 44 -9999 -9999 
54236 2002 10 2 白地 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 0 58 42 66 -9999 -9999 
54236 2002 10 3 白地 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 0 39 38 68 -9999 -9999 
54236 2002 11 1 白地 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 0 34 36 55 -9999 -9999 
54236 2002 11 2 白地 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 0 37 44 58 -9999 -9999 
54236 2003 5 3 春玉米 播种 5月21日 普遍期 推迟24天 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 
54236 2003 5 3 春玉米 出苗 5月28日 普遍期 推迟15天 -9999 2 -9999 206 -340 0 68 60 75 -9999 -9999 
54236 2003 6 1 春玉米 三叶 6月8日 普遍期 推迟19天 -9999 2 -9999 416 -327 0 75 71 86 -9999 -9999 
54236 2003 6 2 春玉米 七叶 6月20日 普遍期 推迟15天 -9999 2 250 624 -334 0 82 75 85 -9999 -9999 
54236 2003 6 3 春玉米 未进 -9999 -9999 -9999 -9999 -9999 -9999 852 -333 0 59 61 78 -9999 -9999 
54236 2003 7 1 春玉米 拔节 7月8日 开始期 -9999 -9999 -9999 -9999 1085 -333 0 99 92 72 -9999 -9999 
54236 2003 7 2 春玉米 拔节 7月14日 普遍期 推迟9天 109 2 -9999 1317 -342 0 51 52 72 -9999 -9999 
54236 2003 7 3 春玉米 抽穗 7月30日 普遍期 推迟6天 -9999 2 -9999 1578 -350 0 97 93 92 -9999 -9999 
54236 2003 8 1 春玉米 未进 -9999 -9999 -9999 -9999 -9999 -9999 1811 -359 0 99 94 92 -9999 -9999 
54236 2003 8 2 春玉米 未进 -9999 -9999 -9999 -9999 -9999 -9999 2045 -353 0 44 51 74 -9999 -9999 
54236 2003 8 3 春玉米 未进 -9999 -9999 -9999 -9999 -9999 -9999 2281 -356 0 70 53 73 -9999 -9999 
54236 2003 9 2 春玉米 未进 -9999 -9999 -9999 -9999 -9999 -9999 2661 -334 0 41 45 60 -9999 -9999 
54236 2003 9 3 春玉米 未进 -9999 -9999 -9999 -9999 -9999 -9999 2661 -334 0 41 45 60 -9999 -9999 
54236 2003 10 1 白地 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 0 53 48 57 -9999 -9999 
54236 2003 10 2 白地 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 0 68 67 84 -9999 -9999 
54236 2003 10 3 白地 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 0 66 64 67 -9999 -9999 
54236 2003 11 1 白地 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 0 58 61 76 -9999 -9999 
54236 2003 11 2 白地 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 0 59 59 80 -9999 -9999 
54236 2004 5 1 高粱 播种 5月4日 普遍期 推迟7天 -9999 -9999 -9999 99 -79 0 59 61 75 -9999 -9999 
54236 2004 5 1 春玉米 播种 5月4日 普遍期 推迟7天 -9999 -9999 -9999 99 -79 0 58 65 83 -9999 -9999 
54236 2004 5 2 高粱 出苗 5月16日 普遍期 推迟3天 -9999 1 -9999 276 -67 0 63 61 74 -9999 -9999 
54236 2004 5 2 春玉米 出苗 5月16日 普遍期 推迟3天 -9999 1 -9999 276 -67 0 57 62 76 -9999 -9999 
54236 2004 5 3 高粱 三叶 5月23日 普遍期 推迟3天 6 1 -9999 491 -55 3 48 61 76 -9999 -9999 
54236 2004 5 3 春玉米 三叶 5月23日 普遍期 推迟3天 8 1 -9999 491 -55 3 45 54 69 -9999 -9999 
54236 2004 6 1 高粱 七叶 6月4日 普遍期 提前4天 17 1 707 726 -18 7 40 53 79 -9999 -9999 
54236 2004 6 1 春玉米 七叶 6月4日 普遍期 提前1天 28 1 304 726 -18 7 27 45 69 -9999 -9999 
54236 2004 6 2 高粱 未进 -9999 -9999 -9999 -9999 -9999 -9999 962 4 0 69 47 78 -9999 -9999 
54236 2004 6 2 春玉米 未进 -9999 -9999 -9999 -9999 -9999 -9999 962 4 0 69 40 63 -9999 -9999 
54236 2004 6 3 高粱 未进 -9999 -9999 -9999 -9999 -9999 -9999 1188 3 0 69 69 86 -9999 -9999 
54236 2004 6 3 春玉米 未进 -9999 -9999 -9999 -9999 -9999 -9999 1188 3 0 59 66 76 -9999 -9999 
54236 2004 7 1 高粱 拔节 7月8日 开始期 推迟2天 -9999 -9999 -9999 1417 -2 0 69 71 72 -9999 -9999 
54236 2004 7 1 春玉米 拔节 7月7日 普遍期 推迟2天 124 2 -9999 1417 -2 0 68 66 74 -9999 -9999 
54236 2004 7 2 高粱 拔节 7月18日 开始期 推迟2天 -9999 -9999 -9999 1417 -2 0 69 71 72 -9999 -9999 
54236 2004 7 2 春玉米 拔节 7月17日 普遍期 推迟2天 124 2 -9999 1417 -2 0 68 66 74 -9999 -9999 
54236 2004 7 3 高粱 抽穗 7月30日 开始期 提前5天 -9999 -9999 -9999 1917 -11 0 88 82 99 -9999 -9999 
54236 2004 7 3 春玉米 抽穗 7月24日 普遍期 提前0天 178 2 -9999 1917 -11 0 90 83 82 -9999 -9999 
54236 2004 8 1 高粱 抽穗 8月1日 普遍期 提前7天 188 1 -9999 2165 -5 0 64 66 94 -9999 -9999 
54236 2004 8 1 春玉米 未进 -9999 -9999 -9999 -9999 -9999 -9999 2165 -5 0 66 70 83 -9999 -9999 
54236 2004 8 2 高粱 未进 -9999 -9999 -9999 -9999 -9999 -9999 2374 -24 0 49 54 84 -9999 -9999 
54236 2004 8 2 春玉米 未进 -9999 -9999 -9999 -9999 -9999 -9999 2374 -24 0 47 56 71 -9999 -9999 
54236 2004 8 3 高粱 乳熟 8月27日 普遍期 提前6天 234 1 629 2612 -25 0 94 96 99 -9999 -9999 
54236 2004 8 3 春玉米 乳熟 8月23日 普遍期 提前3天 206 2 251 2612 -25 0 95 96 94 -9999 -9999 
54236 2004 9 1 高粱 未进 -9999 -9999 -9999 -9999 -9999 -9999 2801 -26 0 59 66 81 -9999 -9999 
54236 2004 9 1 春玉米 未进 -9999 -9999 -9999 -9999 -9999 -9999 2801 -26 0 59 69 81 -9999 -9999 
54236 2004 9 2 春玉米 未进 -9999 -9999 -9999 -9999 -9999 -9999 2981 -14 0 49 49 75 -9999 -9999 
54236 2004 9 2 高粱 未进 -9999 -9999 -9999 -9999 -9999 -9999 2981 -14 0 61 61 72 -9999 -9999 
54236 2004 9 3 高粱 成熟 9月22日 普遍期 推迟1天 -9999 1 -9999 3011 -15 0 62 58 92 -9999 -9999 
54236 2004 9 3 春玉米 成熟 9月22日 普遍期 推迟7天 -9999 2 -9999 3011 -15 0 63 55 76 -9999 -9999 
54236 2004 10 1 白地 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 0 61 69 72 -9999 -9999 
54236 2004 10 2 白地 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 0 47 59 82 -9999 -9999 
54236 2004 11 1 白地 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 0 91 92 87 -9999 -9999 
54236 2004 11 2 白地 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 0 80 82 94 -9999 -9999 
54236 2005 4 2 白地 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 0 66 73 92 -9999 -9999 
54236 2005 4 3 春玉米 播种 4月29日 普遍期 推迟2天 -9999 -9999 -9999 20 -19 0 64 74 85 -9999 -9999 
54236 2005 4 3 高粱 播种 4月29日 普遍期 推迟2天 -9999 -9999 -9999 20 -19 0 55 68 95 -9999 -9999 
54236 2005 5 1 春玉米 未进 -9999 -9999 -9999 -9999 -9999 -9999 150 -28 0 85 94 85 -9999 -9999 
54236 2005 5 1 高粱 未进 -9999 -9999 -9999 -9999 -9999 -9999 150 -28 0 82 94 89 -9999 -9999 
54236 2005 5 2 春玉米 未进 -9999 -9999 -9999 -9999 -9999 -9999 304 -39 0 90 92 87 -9999 -9999 
54236 2005 5 2 高粱 未进 -9999 -9999 -9999 -9999 -9999 -9999 304 -39 0 83 90 92 -9999 -9999 
54236 2005 5 3 春玉米 出苗 5月21日 普遍期 推迟8天 -9999 1 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 
54236 2005 5 3 春玉米 三叶 5月25日 普遍期 推迟5天 -9999 1 -9999 515 -31 0 73 83 90 -9999 -9999 
54236 2005 5 3 高粱 出苗 5月21日 普遍期 推迟8天 -9999 1 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 
54236 2005 5 3 高粱 三叶 5月25日 普遍期 推迟5天 -9999 1 -9999 515 -31 0 61 70 89 -9999 -9999 
54236 2005 6 1 春玉米 七叶 6月9日 普遍期 推迟4天 -9999 1 265 714 -30 0 92 98 79 -9999 -9999 
54236 2005 6 1 高粱 七叶 6月8日 普遍期 提前0天 -9999 1 661 714 -30 0 91 99 98 -9999 -9999 
54236 2005 6 2 春玉米 未进 -9999 -9999 -9999 -9999 -9999 -9999 924 -34 0 73 86 94 -9999 -9999 
54236 2005 6 2 高粱 未进 -9999 -9999 -9999 -9999 -9999 -9999 924 -34 0 81 78 92 -9999 -9999 
54236 2005 6 3 春玉米 未进 -9999 -9999 -9999 -9999 -9999 -9999 1167 -17 0 69 73 90 -9999 -9999 
54236 2005 6 3 高粱 未进 -9999 -9999 -9999 -9999 -9999 -9999 1167 -17 0 72 70 85 -9999 -9999 
54236 2005 7 1 春玉米 拔节 7月3日 普遍期 提前2天 144 1 -9999 1404 -14 0 88 70 87 -9999 -9999 
54236 2005 7 1 高粱 拔节 7月3日 普遍期 提前7天 106 1 -9999 1404 -14 0 90 75 90 -9999 -9999 
54236 2005 7 2 春玉米 未进 -9999 -9999 -9999 -9999 -9999 -9999 1655 -4 0 73 78 88 -9999 -9999 
54236 2005 7 2 高粱 未进 -9999 -9999 -9999 -9999 -9999 -9999 1655 -4 0 69 73 90 -9999 -9999 
54236 2005 7 3 春玉米 抽穗 7月23日 普遍期 提前1天 -9999 1 -9999 1925 -3 0 79 71 80 -9999 -9999 
54236 2005 7 3 高粱 抽穗 7月30日 普遍期 提前8天 -9999 1 -9999 1925 -3 0 86 78 79 -9999 -9999 
54236 2005 8 1 高粱 未进 -9999 -9999 -9999 -9999 -9999 -9999 2168 -2 0 83 82 93 -9999 -9999 
54236 2005 8 1 春玉米 未进 -9999 -9999 -9999 -9999 -9999 -9999 2168 -2 0 85 88 88 -9999 -9999 
54236 2005 8 2 高粱 未进 -9999 -9999 -9999 -9999 -9999 -9999 2408 10 0 99 99 99 -9999 -9999 
54236 2005 8 2 春玉米 未进 -9999 -9999 -9999 -9999 -9999 -9999 2408 10 0 99 99 99 -9999 -9999 
54236 2005 8 3 高粱 乳熟 8月28日 普遍期 提前5天 243 1 629 2659 22 0 66 73 84 -9999 -9999 
54236 2005 8 3 春玉米 乳熟 8月28日 普遍期 推迟2天 265 1 262 2659 22 0 62 83 89 -9999 -9999 
54236 2005 9 1 高粱 未进 -9999 -9999 -9999 -9999 -9999 -9999 2857 30 0 64 69 89 -9999 -9999 
54236 2005 9 1 春玉米 未进 -9999 -9999 -9999 -9999 -9999 -9999 2857 30 0 52 67 88 -9999 -9999 
54236 2005 9 2 高粱 成熟 9月18日 普遍期 提前3天 -9999 1 -9999 3014 51 0 79 84 90 -9999 -9999 
54236 2005 9 2 春玉米 成熟 9月17日 普遍期 推迟2天 -9999 1 -9999 2997 50 0 69 73 88 -9999 -9999 
54236 2005 9 3 白地 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 0 68 79 93 -9999 -9999 
54236 2005 10 1 白地 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 0 87 88 97 -9999 -9999 
54236 2005 10 2 白地 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 0 67 74 90 -9999 -9999 
54236 2005 10 3 白地 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 0 74 61 88 -9999 -9999 
54236 2005 11 1 白地 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 0 58 69 83 -9999 -9999 
54236 2005 11 2 白地 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 0 63 78 94 -9999 -9999 
54236 2006 4 3 春玉米 播种 4月30日 普遍期 推迟3天 -9999 -9999 -9999 -9999 -9999 0 61 71 77 -9999 -9999 
54236 2006 5 1 春玉米 未进 -9999 -9999 -9999 -9999 -9999 -9999 154 -24 0 62 66 67 -9999 -9999 
54236 2006 5 2 春玉米 三叶 5月18日 普遍期 提前2天 -9999 1 -9999 334 -8 0 57 66 65 -9999 -9999 
54236 2006 5 3 春玉米 未进 -9999 -9999 -9999 -9999 -9999 -9999 567 21 0 57 61 71 -9999 -9999 
54236 2006 6 1 春玉米 七叶 6月6日 普遍期 推迟1天 -9999 1 257 774 30 0 60 66 75 -9999 -9999 
54236 2006 6 2 春玉米 未进 -9999 -9999 -9999 -9999 -9999 -9999 990 32 0 70 76 75 -9999 -9999 
54236 2006 6 3 春玉米 未进 -9999 -9999 -9999 -9999 -9999 -9999 1217 33 0 82 85 88 -9999 -9999 
54236 2006 7 1 春玉米 拔节 7月4日 普遍期 提前1天 146 1 -9999 1462 44 0 53 59 79 -9999 -9999 
54236 2006 7 2 春玉米 未进 -9999 -9999 -9999 -9999 -9999 -9999 1712 53 0 57 61 86 -9999 -9999 
54236 2006 7 3 春玉米 抽穗 7月23日 普遍期 提前1天 -9999 1 -9999 1961 33 0 53 59 72 -9999 -9999 
54236 2006 8 1 春玉米 未进 -9999 -9999 -9999 -9999 -9999 -9999 2223 53 3 36 38 57 -9999 -9999 
54236 2006 8 2 春玉米 未进 -9999 -9999 -9999 -9999 -9999 -9999 2461 63 5 37 40 48 -9999 -9999 
54236 2006 8 3 春玉米 乳熟 8月23日 普遍期 提前3天 249 2 254 2710 73 0 61 43 43 -9999 -9999 
54236 2006 9 1 春玉米 未进 -9999 -9999 -9999 -9999 -9999 -9999 2875 48 0 44 46 51 -9999 -9999 
54236 2006 9 2 春玉米 未进 -9999 -9999 -9999 -9999 -9999 -9999 3069 74 0 54 45 43 -9999 -9999 
54236 2006 9 3 春玉米 成熟 9月27日 普遍期 推迟12天 -9999 2 -9999 3191 91 0 63 58 39 -9999 -9999 
54236 2006 10 1 白地 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 4 45 48 37 -9999 -9999 
54236 2006 10 2 白地 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 0 48 53 43 -9999 -9999 
54236 2006 10 3 白地 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 0 69 74 63 -9999 -9999 
54236 2006 11 1 白地 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 0 74 93 51 -9999 -9999 
54236 2006 11 2 白地 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 0 65 62 58 -9999 -9999 
54236 2007 3 3 白地 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 0 66 70 72 -9999 -9999 
54236 2007 4 1 白地 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 0 52 59 81 -9999 -9999 
54236 2007 4 2 白地 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 0 61 58 69 -9999 -9999 
54236 2007 4 3 春玉米 播种 4月28日 普遍期 推迟1天 -9999 -9999 -9999 38 0 0 41 50 51 -9999 -9999 
54236 2007 5 1 春玉米 未进 -9999 -9999 -9999 -9999 -9999 -9999 225 46 5 49 63 69 -9999 -9999 
54236 2007 5 3 春玉米 三叶 5月23日 普遍期 推迟3天 -9999 2 -9999 615 69 0 51 65 74 -9999 -9999 
54236 2007 6 1 春玉米 七叶 6月6日 普遍期 推迟1天 -9999 2 2693 843 99 0 37 53 42 -9999 -9999 
54236 2007 6 2 春玉米 未进 -9999 -9999 -9999 -9999 -9999 -9999 1093 135 5 33 37 46 -9999 -9999 
54236 2007 6 3 春玉米 未进 -9999 -9999 -9999 -9999 -9999 -9999 1350 166 4 23 39 52 -9999 -9999 
54236 2007 7 1 春玉米 拔节 7月4日 普遍期 提前1天 85 2 -9999 1590 172 0 99 99 99 -9999 -9999 
54236 2007 7 2 春玉米 未进 -9999 -9999 -9999 -9999 -9999 -9999 1826 167 0 66 50 48 -9999 -9999 
54236 2007 7 3 春玉米 抽穗 7月25日 普遍期 推迟1天 -9999 2 -9999 2106 178 4 36 39 53 -9999 -9999 
54236 2007 8 1 春玉米 未进 -9999 -9999 -9999 -9999 -9999 -9999 2351 181 0 65 53 54 -9999 -9999 
54236 2007 8 2 春玉米 未进 -9999 -9999 -9999 -9999 -9999 -9999 2595 197 0 61 57 58 -9999 -9999 
54236 2007 9 1 春玉米 未进 -9999 -9999 -9999 -9999 -9999 -9999 3057 230 7 26 39 52 -9999 -9999 
54236 2007 9 2 春玉米 未进 -9999 -9999 -9999 -9999 -9999 -9999 3255 261 9 31 31 41 -9999 -9999 
54236 2007 9 3 春玉米 成熟 9月28日 普遍期 推迟13天 -9999 2 -9999 3388 275 10 30 35 51 -9999 -9999 
54236 2007 10 1 白地 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 0 41 31 45 -9999 -9999 
54236 2007 10 2 白地 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 0 37 34 38 -9999 -9999 
