V01000 V04001 V04002 V04202 C56001 C56002 C56003 C56004 C56005_400 V56006 V56007 V56008 V56019 V56020 V56021 V56208_400_010 V56208_400_020 V56208_400_050 V56208_400_070 V56208_400_100
53646 1992 4 1 春小麦 播种 04月01日 普遍期 推迟2天 -9999 -9999 -9999 88 -16 0 84 80 74 -9999 -9999 
53646 1992 4 2 春小麦 出苗 04月15日 普遍期 推迟3天 -9999 -9999 -9999 189 -16 0 73 72 65 -9999 -9999 
53646 1992 4 3 春小麦 分蘖 04月27日 开始期 -99 10 3 460 327 3 0 58 63 66 -9999 -9999 
53646 1992 5 1 春小麦 分蘖 05月03日 普遍期 推迟3天 77 2 -9999 492 13 0 -9999 -9999 -9999 -9999 -9999 
53646 1992 5 2 春小麦 拔节 05月13日 普遍期 正常 9 2 559 628 -18 0 74 74 70 -9999 -9999 
53646 1992 5 3 春小麦 抽穗 05月30日 开始期 -9999 40 2 -9999 858 5 0 -9999 -9999 -9999 -9999 -9999 
53646 1992 6 1 春小麦 抽穗 06月03日 普遍期 正常 52 2 -9999 1063 10 0 -9999 -9999 -9999 -9999 -9999 
53646 1992 6 2 春小麦 乳熟 06月18日 普遍期 提前3天 75 2 533 1273 10 0 -9999 -9999 -9999 -9999 -9999 
53646 1993 4 1 春小麦 播种 04月04日 普遍期 推迟5天 -9999 -9999 -9999 16 -86 0 -9999 -9999 -9999 -9999 -9999 
53646 1993 4 2 春小麦 出苗 04月18日 普遍期 推迟5天 -9999 -9999 -9999 73 -131 0 -9999 -9999 -9999 -9999 -9999 
53646 1993 4 3 春小麦 出苗 04月18日 普遍期 推迟5天 -9999 -9999 -9999 268 -55 0 67 52 75 -9999 -9999 
53646 1993 5 1 春小麦 分蘖 05月06日 普遍期 推迟5天 19 2 -9999 414 -66 0 40 41 70 -9999 -9999 
53646 1993 5 2 春小麦 拔节 05月16日 普遍期 推迟3天 9 2 638 552 -93 0 -9999 -9999 -9999 -9999 -9999 
53646 1993 5 3 春小麦 拔节 05月16日 普遍期 推迟3天 9 2 638 765 -89 0 39 41 64 -9999 -9999 
53646 1993 6 1 春小麦 拔节 05月16日 普遍期 推迟3天 9 2 638 985 -69 0 -9999 -9999 -9999 -9999 -9999 
53646 1993 6 2 春小麦 乳熟 06月18日 普遍期 提前3天 70 2 582 1202 -61 0 -9999 -9999 -9999 -9999 -9999 
53646 1993 6 3 春小麦 乳熟 06月18日 普遍期 提前3天 70 2 582 1415 -64 0 47 42 61 -9999 -9999 
53646 1993 7 1 春小麦 乳熟 06月18日 普遍期 提前3天 70 2 582 1644 -59 0 -9999 -9999 -9999 -9999 -9999 
53646 1993 7 2 春小麦 成熟 07月18日 普遍期 推迟5天 -9999 -9999 -9999 1827 31 0 -9999 -9999 -9999 -9999 -9999 
53646 1994 4 1 春小麦 播种 04月02日 普遍期 推迟1天 -9999 -9999 -9999 85 -10 0 -9999 -9999 -9999 -9999 -9999 
53646 1994 4 2 春小麦 出苗 04月19日 普遍期 推迟6天 -9999 -9999 -9999 184 -13 0 70 74 70 -9999 -9999 
53646 1994 4 3 春小麦 播种 04月02日 普遍期 推迟1天 -9999 -9999 -9999 342 23 0 77 73 73 -9999 -9999 
53646 1994 5 1 春小麦 播种 04月02日 普遍期 推迟1天 -9999 -9999 -9999 494 19 0 -9999 -9999 -9999 -9999 -9999 
53646 1994 5 2 春小麦 拔节 05月18日 普遍期 推迟4天 30 3 403 689 51 0 -9999 -9999 -9999 -9999 -9999 
53646 1994 6 1 春小麦 抽穗 06月06日 普遍期 推迟3天 -9999 -9999 337 1130 82 0 -9999 -9999 -9999 -9999 -9999 
53646 1994 6 2 春小麦 抽穗 06月06日 普遍期 推迟3天 -9999 -9999 337 1354 96 0 -9999 -9999 -9999 -9999 -9999 
53646 1994 6 3 春小麦 乳熟 06月22日 普遍期 推迟2天 68 3 306 1572 98 0 -9999 -9999 -9999 -9999 -9999 
53646 1994 7 1 春小麦 乳熟 06月22日 普遍期 推迟2天 68 3 306 1808 109 0 99 99 96 -9999 -9999 
53646 1994 7 2 春小麦 成熟 07月12日 普遍期 正常 -9999 -9999 -9999 1855 57 -9999 -9999 -9999 -9999 -9999 -9999 
53646 1994 9 3 晚稻 未进 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 0 68 68 45 42 49 
53646 1995 4 3 春小麦 未进 -9999 -9999 -9999 -9999 -9999 299 269 -50 0 59 57 69 -9999 -9999 
53646 1995 4 3 夏玉米 未进 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 0 -9999 -9999 -9999 -9999 -9999 
53646 1995 5 1 春小麦 分蘖 05月07日 普遍期 推迟3天 -9999 -9999 -9999 398 -77 0 -9999 -9999 -9999 -9999 -9999 
53646 1995 5 1 夏玉米 未进 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 0 80 88 58 53 65 
53646 1995 5 2 春小麦 拔节 05月18日 普遍期 推迟4天 28 2 426 572 -66 0 -9999 -9999 -9999 -9999 -9999 
53646 1995 5 2 夏玉米 未进 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 0 74 82 58 51 52 
53646 1995 5 3 春小麦 拔节 05月18日 普遍期 推迟4天 28 2 426 800 -47 0 -9999 -9999 -9999 -9999 -9999 
53646 1995 5 3 夏玉米 未进 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 0 58 65 51 51 57 
53646 1995 6 1 春小麦 抽穗 06月06日 普遍期 推迟3天 -9999 -9999 382 1023 -26 0 -9999 -9999 -9999 -9999 -9999 
53646 1995 6 1 夏玉米 未进 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 0 51 61 42 47 50 
