V01000 V04001 V04002 V04202 C56001 C56002 C56003 C56004 C56005_400 V56006 V56007 V56008 V56019 V56020 V56021 V56208_400_010 V56208_400_020 V56208_400_050 V56208_400_070 V56208_400_100
51886 1997 4 2 春小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 125 25 0 73 92 99 -9999 -9999 
52737 1992 3 3 春小麦 播种 03月26日 普遍期 推迟3天 -9999 -9999 -9999 26 5 0 75 0 0 -9999 -9999 
52737 1992 4 1 春小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 78 21 0 81 94 0 -9999 -9999 
52737 1992 4 2 春小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 153 49 0 73 74 0 -9999 -9999 
52737 1992 4 3 春小麦 出苗 04月25日 普遍期 提前4天 -9999 -9999 -9999 251 83 0 73 81 95 -9999 -9999 
52737 1992 5 1 春小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 347 82 0 78 88 99 -9999 -9999 
52737 1992 5 2 春小麦 分蘖 05月20日 普遍期 提前11天 13 2 -9999 434 66 0 64 74 99 -9999 -9999 
52737 1992 5 3 春小麦 分蘖 05月30日 -9999 -9999 -9999 -9999 -9999 577 82 0 -9999 -9999 -9999 -9999 -9999 
52737 1992 6 1 春小麦 拔节 06月10日 普遍期 提前10天 10 2 647 719 94 0 64 76 81 -9999 -9999 
52737 1992 6 2 春小麦 拔节 06月13日 末期 99 -9999 -9999 -9999 851 89 0 99 99 98 -9999 -9999 
52737 1992 7 3 春小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 1431 1 0 98 99 90 -9999 -9999 
52737 1992 8 1 春小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 1602 -1 0 72 79 78 -9999 -9999 
52737 1992 8 2 春小麦 乳熟 08月13日 普遍期 推迟7天 81 2 438 1766 7 0 66 78 78 -9999 -9999 
52737 1992 8 3 春小麦 乳熟 08月13日 普遍期 推迟7天 81 2 438 1931 10 0 -9999 -9999 -9999 -9999 -9999 
52737 1992 9 1 春小麦 成熟 09月02日 普遍期 正常 -9999 -9999 -9999 1966 17 0 80 90 83 -9999 -9999 
52737 1993 4 2 春小麦 播种 04月16日 普遍期 推迟24天 -9999 -9999 -9999 29 -80 0 96 99 0 -9999 -9999 
52737 1993 4 3 春小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 137 -38 0 91 99 0 -9999 -9999 
52737 1993 5 1 春小麦 出苗 05月07日 普遍期 推迟8天 -9999 -9999 -9999 -9999 -23 0 86 -9999 -9999 -9999 -9999 
52737 1993 5 2 春小麦 出苗 05月07日 普遍期 推迟8天 -9999 -9999 -9999 299 -75 0 95 99 99 -9999 -9999 
52737 1993 5 3 春小麦 出苗 05月07日 普遍期 推迟8天 -9999 -9999 -9999 408 14 0 81 9 86 -9999 -9999 
52737 1993 5 3 春小麦 分蘖 05月27日 开始期 推迟6天 -9999 -9999 -9999 426 -77 0 82 94 99 -9999 -9999 
52737 1993 6 1 春小麦 分蘖 06月04日 普遍期 推迟5天 14 2 -9999 555 -78 0 83 94 87 -9999 -9999 
52737 1993 6 2 春小麦 拔节 06月17日 普遍期 提前2天 7 2 622 683 -87 0 -9999 -9999 -9999 -9999 -9999 
52737 1993 6 3 春小麦 拔节 06月22日 末期 提前1天 -9999 -9999 -9999 832 -89 0 83 95 82 -9999 -9999 
52737 1993 7 1 春小麦 拔节 06月22日 末期 提前1天 -9999 -9999 -9999 991 -86 0 69 79 53 -9999 -9999 
52737 1993 7 2 春小麦 抽穗 07月18日 普遍期 推迟9天 57 2 -9999 1154 -88 0 72 80 48 -9999 -9999 
52737 1993 7 3 春小麦 抽穗 07月18日 普遍期 推迟9天 57 2 -9999 1357 -74 0 57 66 42 -9999 -9999 
52737 1993 8 1 春小麦 抽穗 07月18日 普遍期 推迟9天 57 2 -9999 1532 -72 0 -9999 -9999 -9999 -9999 -9999 
52737 1993 8 2 春小麦 乳熟 08月13日 普遍期 推迟6天 82 2 503 1692 -69 0 84 90 70 -9999 -9999 
52737 1993 8 3 春小麦 乳熟 08月13日 普遍期 推迟6天 82 2 503 1838 -85 0 73 84 58 -9999 -9999 
52737 1993 9 1 春小麦 乳熟 08月13日 普遍期 推迟6天 82 2 503 1963 11 0 69 79 58 -9999 -9999 
52737 1994 3 3 春小麦 播种 03月26日 普遍期 提前10天 -9999 -9999 -9999 2 -15 0 60 0 0 -9999 -9999 
52737 1994 4 1 春小麦 未进 -9999 -9999 -9999 -9999 -9999 -9999 85 32 0 72 89 0 -9999 -9999 
52737 1994 4 2 春小麦 播种 03月26日 普遍期 提前10天 -9999 -9999 -9999 131 31 0 70 77 0 -9999 -9999 
52737 1994 4 3 春小麦 出苗 04月28日 普遍期 提前2天 -9999 -9999 -9999 209 39 0 63 73 70 -9999 -9999 
52737 1994 5 1 春小麦 播种 03月26日 普遍期 提前10天 -9999 -9999 -9999 319 51 0 62 73 69 -9999 -9999 
52737 1994 5 2 春小麦 分蘖 05月12日 开始期 提前10天 -9999 -9999 -9999 440 74 0 49 59 66 -9999 -9999 
52737 1994 6 1 春小麦 拔节 06月04日 普遍期 提前15天 15 2 1087 710 85 0 86 85 80 -9999 -9999 
52737 1994 6 2 春小麦 拔节 06月04日 普遍期 提前15天 15 2 1087 865 104 -9999 -9999 -9999 -9999 -9999 -9999 
52737 1994 6 3 春小麦 抽穗 06月29日 开始期 提前7天 -9999 -9999 -9999 1008 95 0 70 75 80 -9999 -9999 
52737 1994 7 1 春小麦 抽穗 07月01日 普遍期 提前9天 -9999 -9999 507 1148 80 0 57 65 63 -9999 -9999 
52737 1994 7 2 春小麦 抽穗 07月01日 普遍期 提前9天 -9999 -9999 507 1352 119 0 -9999 -9999 -9999 -9999 -9999 
52737 1994 7 3 春小麦 抽穗 07月01日 普遍期 提前9天 -9999 -9999 507 1538 115 0 91 90 78 -9999 -9999 
52737 1994 8 1 春小麦 抽穗 07月01日 普遍期 提前9天 -9999 -9999 507 1731 135 0 52 60 75 -9999 -9999 
52737 1994 8 2 春小麦 乳熟 08月12日 普遍期 推迟4天 85 2 675 1868 133 0 -9999 -9999 -9999 -9999 -9999 
52737 1994 8 3 春小麦 成熟 08月27日 普遍期 提前8天 -9999 -9999 -9999 2006 36 0 62 66 74 -9999 -9999 
52737 1995 4 3 春小麦 未进 -9999 -9999 -9999 -9999 -9999 70 54 39 0 42 -9999 -9999 -9999 -9999 
52737 1995 5 1 春小麦 出苗 05月04日 普遍期 推迟4天 -9999 -9999 -9999 232 -38 0 74 90 99 -9999 -9999 
52737 1995 5 2 春小麦 分蘖 05月15日 开始期 推迟6天 -9999 -9999 -9999 363 -8 0 65 79 93 -9999 -9999 
52737 1995 5 3 春小麦 分蘖 05月15日 开始期 推迟6天 -9999 -9999 -9999 530 30 0 -9999 -9999 -9999 -9999 -9999 
52737 1995 6 1 春小麦 拔节 06月06日 普遍期 提前12天 19 2 558 705 74 0 60 76 99 -9999 -9999 
52737 1995 6 2 春小麦 拔节 06月06日 普遍期 提前12天 19 2 558 858 90 0 -9999 -9999 -9999 -9999 -9999 
52737 1995 6 3 春小麦 抽穗 06月27日 普遍期 提前13天 -9999 -9999 271 1018 99 0 -9999 -9999 -9999 -9999 -9999 
52737 1995 7 1 春小麦 抽穗 06月27日 普遍期 提前13天 -9999 -9999 271 1177 104 0 56 75 99 -9999 -9999 
52737 1995 7 3 春小麦 抽穗 06月27日 普遍期 提前13天 -9999 -9999 271 1544 114 0 57 70 84 -9999 -9999 
52737 1995 8 1 春小麦 乳熟 08月03日 普遍期 提前4天 67 2 617 1718 113 0 43 55 61 -9999 -9999 
52737 1995 8 2 春小麦 乳熟 08月03日 普遍期 提前4天 67 2 617 1857 94 0 76 82 61 -9999 -9999 
52737 1995 8 3 春小麦 成熟 08月27日 普遍期 提前7天 -9999 -9999 -9999 1972 3 0 45 59 56 -9999 -9999 
52737 1996 3 3 春小麦 播种 03月22日 普遍期 提前4天 -9999 -9999 -9999 11 -3 0 66 0 0 -9999 -9999 
52737 1996 4 1 春小麦 播种 03月22日 普遍期 提前4天 -9999 -9999 -9999 34 -18 0 74 98 0 -9999 -9999 
52737 1996 4 2 春小麦 播种 03月22日 普遍期 提前4天 -9999 -9999 -9999 112 12 0 75 99 0 -9999 -9999 
52737 1996 4 3 春小麦 出苗 04月26日 普遍期 提前4天 -9999 -9999 -9999 203 34 0 68 94 99 -9999 -9999 
52737 1996 5 1 春小麦 分蘖 05月10日 普遍期 提前21天 -9999 -9999 -9999 307 39 0 66 84 91 -9999 -9999 
52737 1996 5 2 春小麦 分蘖 05月10日 普遍期 提前21天 -9999 -9999 -9999 404 33 0 61 78 83 -9999 -9999 
52737 1996 5 3 春小麦 分蘖 05月10日 普遍期 提前21天 -9999 -9999 -9999 569 67 0 -9999 -9999 -9999 -9999 -9999 
52737 1996 6 1 春小麦 拔节 06月09日 普遍期 提前8天 19 2 712 677 42 0 -9999 -9999 -9999 -9999 -9999 
52737 1996 6 2 春小麦 拔节 06月09日 普遍期 提前8天 19 2 712 845 111 0 61 79 99 -9999 -9999 
52737 1996 6 3 春小麦 拔节 06月09日 普遍期 提前8天 19 2 712 996 71 0 87 99 99 -9999 -9999 
