V01000 V04001 V04002 V04202 V56084 V56085 V56086 V56087 V56088 V56089 V56090 V56091 V56092 V56093 V56094 V56095 V56096 V56097 V56098 V56099 C56001 C56080 V56081 V56082 V56083
50353 1999 10 2 -999.0 -999.0 -999.0 -999 -999 -999 -999 -999 54 -999 -999.0 -999.0 -999 -999 -999.0 -999 大豆 单作 9 -999 -999 
50353 2000 11 2 -999.0 -999.0 -999.0 -999 -999 -999 -999 -999 -999 23 9.8 9.0 -999 -999 20.0 157 大豆 单作 -999 -999 -999 
50353 2002 11 2 -999.0 -999.0 -999.0 -999 -999 -999 -999 -999 -999 17 0.6 2.5 -999 -999 34.7 173 春小麦 单作 -999 -999 -999 
50353 2002 11 2 -999.0 -999.0 -999.0 -999 -999 -999 -999 -999 -999 19 8.4 3.0 -999 -999 19.2 172 大豆 单作 -999 -999 -999 
50353 2003 11 2 -999.0 -999.0 -999.0 -999 -999 -999 -999 -999 -999 20 6.2 17.0 -999 -999 13.4 75 大豆 单作 -999 -999 -999 
50353 2003 11 2 -999.0 -999.0 -999.0 -999 -999 -999 -999 -999 -999 13 0.3 5.4 -999 -999 23.8 133 春小麦 单作 -999 -999 -999 
50353 2004 10 2 -999.0 -999.0 -999.0 -999 -999 -999 -999 -999 595 -999 -999.0 -999.0 -999 -999 -999.0 -999 大豆 单作 -999 -999 -999 
50353 2004 10 2 -999.0 -999.0 -999.0 -999 -999 -999 -999 -999 639 -999 -999.0 -999.0 -999 -999 -999.0 -999 春小麦 单作 -999 -999 -999 
50353 2004 11 2 -999.0 -999.0 -999.0 -999 -999 -999 -999 -999 -999 32 10.3 7.0 -999 -999 18.8 153 大豆 单作 -999 -999 -999 
50353 2004 11 2 -999.0 -999.0 -999.0 -999 -999 -999 -999 -999 -999 21 0.6 4.2 -999 -999 32.0 192 春小麦 单作 -999 -999 -999 
50353 2005 10 2 -999.0 -999.0 -999.0 -999 -999 -999 -999 -999 -27 -999 -999.0 -999.0 -999 -999 -999.0 -999 大豆 单作 -999 -999 -999 
50353 2005 10 2 -999.0 -999.0 -999.0 -999 -999 -999 -999 -999 -1 -999 -999.0 -999.0 -999 -999 -999.0 -999 春小麦 单作 -999 -999 -999 
50353 2005 11 2 -999.0 -999.0 -999.0 -999 -999 -999 -999 -999 -999 23 8.2 10.0 -999 -999 19.9 108 大豆 单作 -999 -999 -999 
50353 2005 11 2 -999.0 -999.0 -999.0 -999 -999 -999 -999 -999 -999 21 0.8 3.2 -999 -999 36.8 233 春小麦 单作 -999 -999 -999 
50353 2006 10 2 -999.0 -999.0 -999.0 -999 -999 -999 -999 -999 -1 -999 -999.0 -999.0 -999 -999 -999.0 -999 大豆 单作 -999 -999 -999 
50353 2006 10 2 -999.0 -999.0 -999.0 -999 -999 -999 -999 -999 25 -999 -999.0 -999.0 -999 -999 -999.0 -999 春小麦 单作 -999 -999 -999 
50353 2006 11 2 -999.0 -999.0 -999.0 -999 -999 -999 -999 -999 -999 23 4.9 18.0 -999 -999 12.9 98 大豆 单作 -999 -999 -999 
50353 2006 11 2 -999.0 -999.0 -999.0 -999 -999 -999 -999 -999 -999 22 0.7 2.7 -999 -999 34.4 208 春小麦 单作 -999 -999 -999 
50353 2007 10 2 -999.0 -999.0 -999.0 -999 -999 -999 -999 -999 5 -999 -999.0 -999.0 -999 -999 -999.0 -999 春小麦 单作 -999 -999 -999 
50353 2007 10 2 -999.0 -999.0 -999.0 -999 -999 -999 -999 -999 18 -999 -999.0 -999.0 -999 -999 -999.0 -999 大豆 单作 -999 -999 -999 
50353 2008 10 2 -999.0 -999.0 -999.0 -999 -999 -999 -999 -999 58 -999 -999.0 -999.0 -999 -999 -999.0 -999 春小麦 单作 -999 -999 -999 
50353 2008 10 2 -999.0 -999.0 -999.0 -999 -999 -999 -999 -999 45 -999 -999.0 -999.0 -999 -999 -999.0 -999 大豆 单作 -999 -999 -999 
50353 2008 11 2 -999.0 -999.0 -999.0 -999 -999 -999 -999 -999 -999 15 0.3 2.0 -999 -999 23.3 100 春小麦 单作 -999 -999 -999 
50353 2008 11 2 -999.0 -999.0 -999.0 -999 -999 -999 -999 -999 -999 22 5.8 7.0 -999 -999 16.7 100 大豆 单作 -999 -999 -999 
50468 1999 10 2 -999.0 -999.0 -999.0 -999 -999 -999 -999 -999 -2 -999 -999.0 -999.0 -999 -999 -999.0 -999 大豆 单作 -999 -999 -999 
50468 2000 11 2 -999.0 -999.0 -999.0 -999 -999 -999 -999 -999 -999 -999 -999.0 -999.0 -999 -999 -999.0 196 -999 -999 1 -999 -999 
50468 2000 11 2 -999.0 -999.0 -999.0 -999 -999 -999 -999 -999 -999 11 0.3 1.8 -999 -999 3.8 60 春小麦 单作 -999 -999 -999 
50468 2003 10 2 -999.0 -999.0 -999.0 -999 -999 -999 -999 -999 -73 -999 -999.0 -999.0 -999 -999 -999.0 -999 大豆 单作 -999 -999 -999 
50468 2003 10 2 -999.0 -999.0 -999.0 -999 -999 -999 -999 -999 -54 -999 -999.0 -999.0 -999 -999 -999.0 -999 春玉米 单作 -999 -999 -999 
50468 2003 10 2 -999.0 -999.0 -999.0 -999 -999 -999 -999 -999 -80 -999 -999.0 -999.0 -999 -999 -999.0 -999 春小麦 单作 -999 -999 -999 
